Claim Filed By:,Regular UI,PUA NEW,PUA (Reclassified)*,PEUC Claims,Week ending 
QUEEN ANNES,15,0,0,0,July 6
SOMERSET,5,0,0,0,July 6
ST MARYS,15,0,0,0,July 6
TALBOT,12,0,0,0,July 6
Unknown,19,0,0,0,July 6
WASHINGTON,51,0,0,0,July 6
WICOMICO,31,0,0,0,July 6
WORCESTER,12,0,0,0,July 6
ALLEGANY,13,0,0,0,July 13
ANNE ARUNDEL,213,0,0,0,July 13
BALTIMORE,349,0,0,0,July 13
BALTIMORE CITY,377,0,0,0,July 13
CALVERT,22,0,0,0,July 13
CAROLINE,13,0,0,0,July 13
CARROLL,29,0,0,0,July 13
CECIL,28,0,0,0,July 13
CHARLES,41,0,0,0,July 13
DORCHESTER,19,0,0,0,July 13
FREDERICK,78,0,0,0,July 13
GARRETT,8,0,0,0,July 13
HARFORD,85,0,0,0,July 13
HOWARD,96,0,0,0,July 13
KENT,4,0,0,0,July 13
MONTGOMERY,248,0,0,0,July 13
NON-MARYLAND,186,0,0,0,July 13
PRINCE GEORGES,268,0,0,0,July 13
QUEEN ANNES,9,0,0,0,July 13
SOMERSET,7,0,0,0,July 13
ST MARYS,17,0,0,0,July 13
TALBOT,15,0,0,0,July 13
Unknown,16,0,0,0,July 13
WASHINGTON,37,0,0,0,July 13
WICOMICO,32,0,0,0,July 13
WORCESTER,15,0,0,0,July 13
ALLEGANY,29,0,0,0,July 20
ANNE ARUNDEL,164,0,0,0,July 20
BALTIMORE,373,0,0,0,July 20
BALTIMORE CITY,340,0,0,0,July 20
CALVERT,25,0,0,0,July 20
CAROLINE,10,0,0,0,July 20
CARROLL,39,0,0,0,July 20
CECIL,25,0,0,0,July 20
CHARLES,50,0,0,0,July 20
DORCHESTER,12,0,0,0,July 20
FREDERICK,72,0,0,0,July 20
GARRETT,4,0,0,0,July 20
HARFORD,101,0,0,0,July 20
HOWARD,84,0,0,0,July 20
KENT,5,0,0,0,July 20
MONTGOMERY,227,0,0,0,July 20
NON-MARYLAND,186,0,0,0,July 20
PRINCE GEORGES,284,0,0,0,July 20
QUEEN ANNES,11,0,0,0,July 20
SOMERSET,10,0,0,0,July 20
ST MARYS,17,0,0,0,July 20
TALBOT,15,0,0,0,July 20
Unknown,23,0,0,0,July 20
WASHINGTON,41,0,0,0,July 20
WICOMICO,49,0,0,0,July 20
WORCESTER,15,0,0,0,July 20
ALLEGANY,41,0,0,0,July 27
ANNE ARUNDEL,164,0,0,0,July 27
BALTIMORE,360,0,0,0,July 27
BALTIMORE CITY,312,0,0,0,July 27
CALVERT,31,0,0,0,July 27
CAROLINE,14,0,0,0,July 27
CARROLL,50,0,0,0,July 27
CECIL,33,0,0,0,July 27
CHARLES,56,0,0,0,July 27
DORCHESTER,17,0,0,0,July 27
FREDERICK,64,0,0,0,July 27
GARRETT,8,0,0,0,July 27
HARFORD,81,0,0,0,July 27
HOWARD,77,0,0,0,July 27
KENT,4,0,0,0,July 27
MONTGOMERY,191,0,0,0,July 27
NON-MARYLAND,245,0,0,0,July 27
PRINCE GEORGES,274,0,0,0,July 27
QUEEN ANNES,6,0,0,0,July 27
SOMERSET,10,0,0,0,July 27
ST MARYS,11,0,0,0,July 27
TALBOT,16,0,0,0,July 27
Unknown,18,0,0,0,July 27
WASHINGTON,89,0,0,0,July 27
WICOMICO,34,0,0,0,July 27
WORCESTER,9,0,0,0,July 27
ALLEGANY,50,0,0,0,Aug 3
ANNE ARUNDEL,188,0,0,0,Aug 3
BALTIMORE,395,0,0,0,Aug 3
BALTIMORE CITY,373,0,0,0,Aug 3
CALVERT,31,0,0,0,Aug 3
CAROLINE,9,0,0,0,Aug 3
CARROLL,46,0,0,0,Aug 3
CECIL,21,0,0,0,Aug 3
CHARLES,72,0,0,0,Aug 3
DORCHESTER,12,0,0,0,Aug 3
FREDERICK,84,0,0,0,Aug 3
GARRETT,4,0,0,0,Aug 3
HARFORD,91,0,0,0,Aug 3
HOWARD,89,0,0,0,Aug 3
KENT,2,0,0,0,Aug 3
MONTGOMERY,224,0,0,0,Aug 3
NON-MARYLAND,188,0,0,0,Aug 3
PRINCE GEORGES,309,0,0,0,Aug 3
QUEEN ANNES,10,0,0,0,Aug 3
SOMERSET,6,0,0,0,Aug 3
ST MARYS,11,0,0,0,Aug 3
TALBOT,12,0,0,0,Aug 3
Unknown,19,0,0,0,Aug 3
WASHINGTON,88,0,0,0,Aug 3
WICOMICO,40,0,0,0,Aug 3
WORCESTER,8,0,0,0,Aug 3
ALLEGANY,24,0,0,0,Aug 10
ANNE ARUNDEL,210,0,0,0,Aug 10
BALTIMORE,329,0,0,0,Aug 10
BALTIMORE CITY,337,0,0,0,Aug 10
CALVERT,31,0,0,0,Aug 10
CAROLINE,10,0,0,0,Aug 10
CARROLL,43,0,0,0,Aug 10
CECIL,30,0,0,0,Aug 10
CHARLES,71,0,0,0,Aug 10
DORCHESTER,15,0,0,0,Aug 10
FREDERICK,69,0,0,0,Aug 10
GARRETT,6,0,0,0,Aug 10
HARFORD,80,0,0,0,Aug 10
HOWARD,84,0,0,0,Aug 10
KENT,3,0,0,0,Aug 10
MONTGOMERY,237,0,0,1,Aug 10
NON-MARYLAND,269,0,0,0,Aug 10
PRINCE GEORGES,282,0,0,0,Aug 10
QUEEN ANNES,14,0,0,0,Aug 10
SOMERSET,7,0,0,0,Aug 10
ST MARYS,17,0,0,0,Aug 10
TALBOT,14,0,0,0,Aug 10
Unknown,11,0,0,0,Aug 10
WASHINGTON,105,0,0,0,Aug 10
WICOMICO,22,0,0,0,Aug 10
WORCESTER,13,0,0,0,Aug 10
ALLEGANY,16,0,0,0,Aug 17
ANNE ARUNDEL,165,0,0,0,Aug 17
BALTIMORE,334,0,0,0,Aug 17
BALTIMORE CITY,282,0,0,0,Aug 17
CALVERT,25,0,0,0,Aug 17
CAROLINE,8,0,0,0,Aug 17
CARROLL,25,0,0,0,Aug 17
CECIL,21,0,0,0,Aug 17
CHARLES,67,0,0,0,Aug 17
DORCHESTER,10,0,0,0,Aug 17
FREDERICK,68,0,0,0,Aug 17
GARRETT,9,0,0,0,Aug 17
HARFORD,70,0,0,0,Aug 17
HOWARD,69,0,0,0,Aug 17
KENT,6,0,0,0,Aug 17
MONTGOMERY,195,0,0,0,Aug 17
NON-MARYLAND,168,0,0,0,Aug 17
PRINCE GEORGES,270,0,0,0,Aug 17
QUEEN ANNES,6,0,0,0,Aug 17
SOMERSET,5,0,0,0,Aug 17
ST MARYS,12,0,0,0,Aug 17
TALBOT,9,0,0,0,Aug 17
Unknown,24,0,0,0,Aug 17
WASHINGTON,58,0,0,0,Aug 17
WICOMICO,33,0,0,0,Aug 17
WORCESTER,15,0,0,0,Aug 17
ALLEGANY,15,0,0,0,Aug 24
ANNE ARUNDEL,151,0,0,0,Aug 24
BALTIMORE,294,0,0,0,Aug 24
BALTIMORE CITY,268,0,0,0,Aug 24
CALVERT,17,0,0,0,Aug 24
CAROLINE,10,0,0,0,Aug 24
CARROLL,36,0,0,0,Aug 24
CECIL,26,0,0,0,Aug 24
CHARLES,53,0,0,0,Aug 24
DORCHESTER,11,0,0,0,Aug 24
FREDERICK,65,0,0,0,Aug 24
GARRETT,4,0,0,0,Aug 24
HARFORD,70,0,0,0,Aug 24
HOWARD,62,0,0,0,Aug 24
KENT,4,0,0,0,Aug 24
MONTGOMERY,204,0,0,0,Aug 24
NON-MARYLAND,229,0,0,0,Aug 24
PRINCE GEORGES,290,0,0,0,Aug 24
QUEEN ANNES,10,0,0,0,Aug 24
SOMERSET,5,0,0,0,Aug 24
ST MARYS,6,0,0,0,Aug 24
TALBOT,13,0,0,0,Aug 24
Unknown,16,0,0,0,Aug 24
WASHINGTON,90,0,0,0,Aug 24
WICOMICO,22,0,0,0,Aug 24
WORCESTER,11,0,0,0,Aug 24
ALLEGANY,21,0,0,0,Aug 31
ANNE ARUNDEL,118,0,0,0,Aug 31
BALTIMORE,303,0,0,0,Aug 31
BALTIMORE CITY,253,0,0,0,Aug 31
CALVERT,12,0,0,0,Aug 31
CAROLINE,9,0,0,0,Aug 31
CARROLL,32,0,0,0,Aug 31
CECIL,19,0,0,0,Aug 31
CHARLES,44,0,0,0,Aug 31
DORCHESTER,9,0,0,0,Aug 31
FREDERICK,68,0,0,0,Aug 31
GARRETT,7,0,0,0,Aug 31
HARFORD,69,0,0,0,Aug 31
HOWARD,56,0,0,0,Aug 31
KENT,5,0,0,0,Aug 31
MONTGOMERY,203,0,0,0,Aug 31
NON-MARYLAND,190,0,0,0,Aug 31
PRINCE GEORGES,254,0,0,0,Aug 31
QUEEN ANNES,12,0,0,0,Aug 31
SOMERSET,9,0,0,0,Aug 31
ST MARYS,5,0,0,0,Aug 31
TALBOT,7,0,0,0,Aug 31
Unknown,19,0,0,0,Aug 31
WASHINGTON,51,0,0,0,Aug 31
WICOMICO,31,0,0,0,Aug 31
WORCESTER,18,0,0,0,Aug 31
ALLEGANY,27,0,0,0,Sept 7
ANNE ARUNDEL,111,0,0,0,Sept 7
BALTIMORE,319,0,0,0,Sept 7
BALTIMORE CITY,229,0,0,0,Sept 7
CALVERT,23,0,0,0,Sept 7
CAROLINE,10,0,0,0,Sept 7
CARROLL,23,0,0,0,Sept 7
CECIL,30,0,0,0,Sept 7
CHARLES,39,0,0,0,Sept 7
DORCHESTER,12,0,0,0,Sept 7
FREDERICK,66,0,0,0,Sept 7
GARRETT,10,0,0,0,Sept 7
HARFORD,77,0,0,0,Sept 7
HOWARD,79,0,0,0,Sept 7
KENT,1,0,0,0,Sept 7
MONTGOMERY,219,0,0,0,Sept 7
NON-MARYLAND,197,0,0,0,Sept 7
PRINCE GEORGES,235,0,0,0,Sept 7
QUEEN ANNES,12,0,0,0,Sept 7
SOMERSET,5,0,0,0,Sept 7
ST MARYS,13,0,0,0,Sept 7
TALBOT,20,0,0,0,Sept 7
Unknown,13,0,0,0,Sept 7
WASHINGTON,66,0,0,0,Sept 7
WICOMICO,29,0,0,0,Sept 7
WORCESTER,17,0,0,0,Sept 7
ALLEGANY,15,0,0,0,Sept 14
ANNE ARUNDEL,131,0,0,0,Sept 14
BALTIMORE,316,0,0,0,Sept 14
BALTIMORE CITY,279,0,0,0,Sept 14
CALVERT,23,0,0,0,Sept 14
CAROLINE,10,0,0,0,Sept 14
CARROLL,37,0,0,0,Sept 14
CECIL,38,0,0,0,Sept 14
CHARLES,58,0,0,0,Sept 14
DORCHESTER,9,0,0,0,Sept 14
FREDERICK,66,0,0,0,Sept 14
GARRETT,7,0,0,0,Sept 14
HARFORD,81,0,0,0,Sept 14
HOWARD,83,0,0,0,Sept 14
KENT,5,0,0,0,Sept 14
MONTGOMERY,222,0,0,0,Sept 14
NON-MARYLAND,177,0,0,0,Sept 14
PRINCE GEORGES,243,0,0,0,Sept 14
QUEEN ANNES,10,0,0,0,Sept 14
SOMERSET,10,0,0,0,Sept 14
ST MARYS,15,0,0,0,Sept 14
TALBOT,6,0,0,0,Sept 14
Unknown,7,0,0,0,Sept 14
WASHINGTON,67,0,0,0,Sept 14
WICOMICO,37,0,0,0,Sept 14
WORCESTER,24,0,0,0,Sept 14
ALLEGANY,23,0,0,0,Sept 21
ANNE ARUNDEL,142,0,0,0,Sept 21
BALTIMORE,274,0,0,0,Sept 21
BALTIMORE CITY,277,0,0,0,Sept 21
CALVERT,19,0,0,0,Sept 21
CAROLINE,6,0,0,0,Sept 21
CARROLL,22,0,0,0,Sept 21
CECIL,15,0,0,0,Sept 21
CHARLES,53,0,0,0,Sept 21
DORCHESTER,19,0,0,0,Sept 21
FREDERICK,63,0,0,0,Sept 21
GARRETT,8,0,0,0,Sept 21
HARFORD,59,0,0,0,Sept 21
HOWARD,72,0,0,0,Sept 21
KENT,3,0,0,0,Sept 21
MONTGOMERY,243,0,0,0,Sept 21
NON-MARYLAND,150,0,0,0,Sept 21
PRINCE GEORGES,257,0,0,0,Sept 21
QUEEN ANNES,14,0,0,0,Sept 21
SOMERSET,9,0,0,0,Sept 21
ST MARYS,13,0,0,0,Sept 21
TALBOT,5,0,0,0,Sept 21
Unknown,22,0,0,0,Sept 21
WASHINGTON,41,0,0,0,Sept 21
WICOMICO,36,0,0,0,Sept 21
WORCESTER,12,0,0,0,Sept 21
ALLEGANY,40,0,0,0,Sept 28
ANNE ARUNDEL,160,0,0,0,Sept 28
BALTIMORE,275,0,0,0,Sept 28
BALTIMORE CITY,265,0,0,0,Sept 28
CALVERT,24,0,0,0,Sept 28
CAROLINE,11,0,0,0,Sept 28
CARROLL,31,0,0,0,Sept 28
CECIL,28,0,0,0,Sept 28
CHARLES,40,0,0,0,Sept 28
DORCHESTER,11,0,0,0,Sept 28
FREDERICK,56,0,0,0,Sept 28
GARRETT,8,0,0,0,Sept 28
HARFORD,75,0,0,0,Sept 28
HOWARD,55,0,0,0,Sept 28
KENT,2,0,0,0,Sept 28
MONTGOMERY,187,0,0,0,Sept 28
NON-MARYLAND,138,0,0,0,Sept 28
PRINCE GEORGES,231,0,0,0,Sept 28
QUEEN ANNES,10,0,0,0,Sept 28
SOMERSET,8,0,0,0,Sept 28
ST MARYS,5,0,0,0,Sept 28
TALBOT,13,0,0,0,Sept 28
Unknown,22,0,0,0,Sept 28
WASHINGTON,58,0,0,0,Sept 28
WICOMICO,33,0,0,0,Sept 28
WORCESTER,23,0,0,0,Sept 28
ALLEGANY,24,0,0,0,Oct 5
ANNE ARUNDEL,145,0,0,0,Oct 5
BALTIMORE,337,0,0,0,Oct 5
BALTIMORE CITY,306,0,0,0,Oct 5
CALVERT,23,0,0,0,Oct 5
CAROLINE,5,0,0,0,Oct 5
CARROLL,46,0,0,0,Oct 5
CECIL,23,0,0,0,Oct 5
CHARLES,49,0,0,0,Oct 5
DORCHESTER,9,0,0,0,Oct 5
FREDERICK,71,0,0,0,Oct 5
GARRETT,5,0,0,0,Oct 5
HARFORD,106,0,0,0,Oct 5
HOWARD,72,0,0,0,Oct 5
KENT,4,0,0,0,Oct 5
MONTGOMERY,231,0,0,0,Oct 5
NON-MARYLAND,189,0,0,0,Oct 5
PRINCE GEORGES,275,0,0,0,Oct 5
QUEEN ANNES,10,0,0,0,Oct 5
SOMERSET,5,0,0,0,Oct 5
ST MARYS,5,0,0,0,Oct 5
TALBOT,9,0,0,0,Oct 5
Unknown,21,0,0,0,Oct 5
WASHINGTON,61,0,0,0,Oct 5
WICOMICO,50,0,0,0,Oct 5
WORCESTER,35,0,0,0,Oct 5
ALLEGANY,25,0,0,0,Oct 12
ANNE ARUNDEL,155,0,0,0,Oct 12
BALTIMORE,297,0,0,0,Oct 12
BALTIMORE CITY,280,0,0,0,Oct 12
CALVERT,14,0,0,0,Oct 12
CAROLINE,8,0,0,0,Oct 12
CARROLL,34,0,0,0,Oct 12
CECIL,28,0,0,0,Oct 12
CHARLES,43,0,0,0,Oct 12
DORCHESTER,10,0,0,0,Oct 12
FREDERICK,53,0,0,0,Oct 12
GARRETT,16,0,0,0,Oct 12
HARFORD,82,0,0,0,Oct 12
HOWARD,81,0,0,0,Oct 12
KENT,3,0,0,0,Oct 12
MONTGOMERY,220,0,0,0,Oct 12
NON-MARYLAND,173,0,0,0,Oct 12
PRINCE GEORGES,266,0,0,0,Oct 12
QUEEN ANNES,11,0,0,0,Oct 12
SOMERSET,10,0,0,0,Oct 12
ST MARYS,15,0,0,0,Oct 12
TALBOT,14,0,0,0,Oct 12
Unknown,14,0,0,0,Oct 12
WASHINGTON,43,0,0,0,Oct 12
WICOMICO,56,0,0,0,Oct 12
WORCESTER,49,0,0,0,Oct 12
ALLEGANY,17,0,0,0,Oct 19
ANNE ARUNDEL,163,0,0,0,Oct 19
BALTIMORE,267,0,0,0,Oct 19
BALTIMORE CITY,242,0,0,0,Oct 19
CALVERT,16,0,0,0,Oct 19
CAROLINE,8,0,0,0,Oct 19
CARROLL,37,0,0,0,Oct 19
CECIL,21,0,0,0,Oct 19
CHARLES,37,0,0,0,Oct 19
DORCHESTER,13,0,0,0,Oct 19
FREDERICK,76,0,0,0,Oct 19
GARRETT,5,0,0,0,Oct 19
HARFORD,79,0,0,0,Oct 19
HOWARD,69,0,0,0,Oct 19
KENT,5,0,0,0,Oct 19
MONTGOMERY,220,0,0,0,Oct 19
NON-MARYLAND,179,0,0,0,Oct 19
PRINCE GEORGES,238,0,0,0,Oct 19
QUEEN ANNES,16,0,0,0,Oct 19
SOMERSET,7,0,0,0,Oct 19
ST MARYS,8,0,0,0,Oct 19
TALBOT,12,0,0,0,Oct 19
Unknown,15,0,0,0,Oct 19
WASHINGTON,54,0,0,0,Oct 19
WICOMICO,42,0,0,0,Oct 19
WORCESTER,62,0,0,0,Oct 19
ALLEGANY,27,0,0,0,Oct 26
ANNE ARUNDEL,151,0,0,0,Oct 26
BALTIMORE,320,0,0,0,Oct 26
BALTIMORE CITY,299,0,0,0,Oct 26
CALVERT,18,0,0,0,Oct 26
CAROLINE,14,0,0,0,Oct 26
CARROLL,33,0,0,0,Oct 26
CECIL,22,0,0,0,Oct 26
CHARLES,52,0,0,0,Oct 26
DORCHESTER,12,0,0,0,Oct 26
FREDERICK,69,0,0,0,Oct 26
GARRETT,8,0,0,0,Oct 26
HARFORD,77,0,0,0,Oct 26
HOWARD,76,0,0,0,Oct 26
KENT,7,0,0,0,Oct 26
MONTGOMERY,204,0,0,0,Oct 26
NON-MARYLAND,173,0,0,0,Oct 26
PRINCE GEORGES,261,0,0,0,Oct 26
QUEEN ANNES,12,0,0,0,Oct 26
SOMERSET,8,0,0,0,Oct 26
ST MARYS,11,0,0,0,Oct 26
TALBOT,13,0,0,0,Oct 26
Unknown,14,0,0,0,Oct 26
WASHINGTON,47,0,0,0,Oct 26
WICOMICO,48,0,0,0,Oct 26
WORCESTER,59,0,0,0,Oct 26
ALLEGANY,19,0,0,0,Nov 2
ANNE ARUNDEL,159,0,0,0,Nov 2
BALTIMORE,319,0,0,0,Nov 2
BALTIMORE CITY,292,0,0,0,Nov 2
CALVERT,20,0,0,0,Nov 2
CAROLINE,10,0,0,0,Nov 2
CARROLL,33,0,0,0,Nov 2
CECIL,20,0,0,0,Nov 2
CHARLES,47,0,0,0,Nov 2
DORCHESTER,14,0,0,0,Nov 2
FREDERICK,75,0,0,0,Nov 2
GARRETT,3,0,0,0,Nov 2
HARFORD,80,0,0,0,Nov 2
HOWARD,78,0,0,0,Nov 2
KENT,10,0,0,0,Nov 2
MONTGOMERY,194,0,0,0,Nov 2
NON-MARYLAND,187,0,0,0,Nov 2
PRINCE GEORGES,247,0,0,0,Nov 2
QUEEN ANNES,13,0,0,0,Nov 2
SOMERSET,17,0,0,0,Nov 2
ST MARYS,17,0,0,0,Nov 2
TALBOT,13,0,0,0,Nov 2
Unknown,14,0,0,0,Nov 2
WASHINGTON,44,0,0,0,Nov 2
WICOMICO,99,0,0,0,Nov 2
WORCESTER,112,0,0,0,Nov 2
ALLEGANY,26,0,0,0,Nov 9
ANNE ARUNDEL,152,0,0,0,Nov 9
BALTIMORE,318,0,0,0,Nov 9
BALTIMORE CITY,258,0,0,0,Nov 9
CALVERT,16,0,0,0,Nov 9
CAROLINE,12,0,0,0,Nov 9
CARROLL,39,0,0,0,Nov 9
CECIL,29,0,0,0,Nov 9
CHARLES,59,0,0,0,Nov 9
DORCHESTER,15,0,0,0,Nov 9
FREDERICK,68,0,0,0,Nov 9
GARRETT,11,0,0,0,Nov 9
HARFORD,78,0,0,0,Nov 9
HOWARD,74,0,0,0,Nov 9
KENT,6,0,0,0,Nov 9
MONTGOMERY,209,0,0,0,Nov 9
NON-MARYLAND,192,0,0,0,Nov 9
PRINCE GEORGES,230,0,0,0,Nov 9
QUEEN ANNES,12,0,0,0,Nov 9
SOMERSET,9,0,0,0,Nov 9
ST MARYS,16,0,0,0,Nov 9
TALBOT,18,0,0,0,Nov 9
Unknown,28,0,0,0,Nov 9
WASHINGTON,50,0,0,0,Nov 9
WICOMICO,57,0,0,0,Nov 9
WORCESTER,109,0,0,0,Nov 9
ALLEGANY,27,0,0,0,Nov 16
ANNE ARUNDEL,164,0,0,0,Nov 16
BALTIMORE,312,0,0,0,Nov 16
BALTIMORE CITY,294,0,0,0,Nov 16
CALVERT,17,0,0,0,Nov 16
CAROLINE,6,0,0,0,Nov 16
CARROLL,42,0,0,0,Nov 16
CECIL,28,0,0,0,Nov 16
CHARLES,45,0,0,0,Nov 16
DORCHESTER,21,0,0,0,Nov 16
FREDERICK,68,0,0,0,Nov 16
GARRETT,9,0,0,0,Nov 16
HARFORD,78,0,0,0,Nov 16
HOWARD,58,0,0,0,Nov 16
KENT,5,0,0,0,Nov 16
MONTGOMERY,222,0,0,0,Nov 16
NON-MARYLAND,160,0,0,0,Nov 16
PRINCE GEORGES,239,0,0,0,Nov 16
QUEEN ANNES,14,0,0,0,Nov 16
SOMERSET,8,0,0,0,Nov 16
ST MARYS,11,0,0,0,Nov 16
TALBOT,13,0,0,0,Nov 16
Unknown,21,0,0,0,Nov 16
WASHINGTON,50,0,0,0,Nov 16
WICOMICO,65,0,0,0,Nov 16
WORCESTER,97,0,0,0,Nov 16
ALLEGANY,32,0,0,0,Nov 23
ANNE ARUNDEL,161,0,0,0,Nov 23
BALTIMORE,365,0,0,0,Nov 23
BALTIMORE CITY,265,0,0,0,Nov 23
CALVERT,27,0,0,0,Nov 23
CAROLINE,9,0,0,0,Nov 23
CARROLL,43,0,0,0,Nov 23
CECIL,20,0,0,0,Nov 23
CHARLES,74,0,0,0,Nov 23
DORCHESTER,13,0,0,0,Nov 23
FREDERICK,71,0,0,0,Nov 23
GARRETT,8,0,0,0,Nov 23
HARFORD,75,0,0,0,Nov 23
HOWARD,70,0,0,0,Nov 23
KENT,5,0,0,0,Nov 23
MONTGOMERY,213,0,0,0,Nov 23
NON-MARYLAND,220,0,0,0,Nov 23
PRINCE GEORGES,276,0,0,0,Nov 23
QUEEN ANNES,17,0,0,0,Nov 23
SOMERSET,8,0,0,0,Nov 23
ST MARYS,15,0,0,0,Nov 23
TALBOT,17,0,0,0,Nov 23
Unknown,23,0,0,0,Nov 23
WASHINGTON,56,0,0,0,Nov 23
WICOMICO,82,0,0,0,Nov 23
WORCESTER,90,0,0,0,Nov 23
ALLEGANY,26,0,0,0,Nov 30
ANNE ARUNDEL,361,0,0,0,Nov 30
BALTIMORE,279,0,0,0,Nov 30
BALTIMORE CITY,239,0,0,0,Nov 30
CALVERT,28,0,0,0,Nov 30
CAROLINE,11,0,0,0,Nov 30
CARROLL,34,0,0,0,Nov 30
CECIL,56,0,0,0,Nov 30
CHARLES,55,0,0,0,Nov 30
DORCHESTER,14,0,0,0,Nov 30
FREDERICK,60,0,0,0,Nov 30
GARRETT,15,0,0,0,Nov 30
HARFORD,62,0,0,0,Nov 30
HOWARD,60,0,0,0,Nov 30
KENT,26,0,0,0,Nov 30
MONTGOMERY,132,0,0,0,Nov 30
NON-MARYLAND,165,0,0,0,Nov 30
PRINCE GEORGES,175,0,0,0,Nov 30
QUEEN ANNES,11,0,0,0,Nov 30
SOMERSET,9,0,0,0,Nov 30
ST MARYS,7,0,0,0,Nov 30
TALBOT,10,0,0,0,Nov 30
Unknown,14,0,0,0,Nov 30
WASHINGTON,32,0,0,0,Nov 30
WICOMICO,33,0,0,0,Nov 30
WORCESTER,57,0,0,0,Nov 30
ALLEGANY,50,0,0,0,Dec 7
ANNE ARUNDEL,214,0,0,0,Dec 7
BALTIMORE,366,0,0,0,Dec 7
BALTIMORE CITY,324,0,0,0,Dec 7
CALVERT,31,0,0,0,Dec 7
CAROLINE,17,0,0,0,Dec 7
CARROLL,46,0,0,0,Dec 7
CECIL,41,0,0,0,Dec 7
CHARLES,77,0,0,0,Dec 7
DORCHESTER,22,0,0,0,Dec 7
FREDERICK,69,0,0,0,Dec 7
GARRETT,26,0,0,0,Dec 7
HARFORD,113,0,0,0,Dec 7
HOWARD,116,0,0,0,Dec 7
KENT,13,0,0,0,Dec 7
MONTGOMERY,258,0,0,0,Dec 7
NON-MARYLAND,277,0,0,0,Dec 7
PRINCE GEORGES,320,0,0,0,Dec 7
QUEEN ANNES,18,0,0,0,Dec 7
SOMERSET,10,0,0,0,Dec 7
ST MARYS,14,0,0,0,Dec 7
TALBOT,12,0,0,0,Dec 7
Unknown,28,0,0,0,Dec 7
WASHINGTON,68,0,0,0,Dec 7
WICOMICO,73,0,0,0,Dec 7
WORCESTER,72,0,0,0,Dec 7
ALLEGANY,33,0,0,0,Dec 14
ANNE ARUNDEL,134,0,0,0,Dec 14
BALTIMORE,315,0,0,0,Dec 14
BALTIMORE CITY,304,0,0,0,Dec 14
CALVERT,14,0,0,0,Dec 14
CAROLINE,10,0,0,0,Dec 14
CARROLL,52,0,0,0,Dec 14
CECIL,39,0,0,0,Dec 14
CHARLES,49,0,0,0,Dec 14
DORCHESTER,14,0,0,0,Dec 14
FREDERICK,74,0,0,0,Dec 14
GARRETT,22,0,0,0,Dec 14
HARFORD,101,0,0,0,Dec 14
HOWARD,66,0,0,0,Dec 14
KENT,22,0,0,0,Dec 14
MONTGOMERY,213,0,0,0,Dec 14
NON-MARYLAND,208,0,0,0,Dec 14
PRINCE GEORGES,259,0,0,0,Dec 14
QUEEN ANNES,20,0,0,0,Dec 14
SOMERSET,12,0,0,0,Dec 14
ST MARYS,10,0,0,0,Dec 14
TALBOT,10,0,0,0,Dec 14
Unknown,23,0,0,0,Dec 14
WASHINGTON,60,0,0,0,Dec 14
WICOMICO,35,0,0,0,Dec 14
WORCESTER,52,0,0,0,Dec 14
ALLEGANY,55,0,0,0,Dec 21
ANNE ARUNDEL,183,0,0,0,Dec 21
BALTIMORE,396,0,0,0,Dec 21
BALTIMORE CITY,483,0,0,0,Dec 21
CALVERT,24,0,0,0,Dec 21
CAROLINE,16,0,0,0,Dec 21
CARROLL,85,0,0,0,Dec 21
CECIL,31,0,0,0,Dec 21
CHARLES,53,0,0,0,Dec 21
DORCHESTER,13,0,0,0,Dec 21
FREDERICK,86,0,0,0,Dec 21
GARRETT,17,0,0,0,Dec 21
HARFORD,107,0,0,0,Dec 21
HOWARD,86,0,0,0,Dec 21
KENT,13,0,0,0,Dec 21
MONTGOMERY,244,0,0,0,Dec 21
NON-MARYLAND,195,0,0,0,Dec 21
PRINCE GEORGES,279,0,0,0,Dec 21
QUEEN ANNES,11,0,0,0,Dec 21
SOMERSET,18,0,0,0,Dec 21
ST MARYS,26,0,0,0,Dec 21
TALBOT,15,0,0,0,Dec 21
Unknown,37,0,0,0,Dec 21
WASHINGTON,63,0,0,0,Dec 21
WICOMICO,70,0,0,0,Dec 21
WORCESTER,47,0,0,0,Dec 21
ALLEGANY,74,0,0,0,Dec 28
ANNE ARUNDEL,383,0,0,0,Dec 28
BALTIMORE,482,0,0,0,Dec 28
BALTIMORE CITY,491,0,0,0,Dec 28
CALVERT,84,0,0,0,Dec 28
CAROLINE,24,0,0,0,Dec 28
CARROLL,124,0,0,0,Dec 28
CECIL,101,0,0,0,Dec 28
CHARLES,150,0,0,0,Dec 28
DORCHESTER,20,0,0,0,Dec 28
FREDERICK,76,0,0,0,Dec 28
GARRETT,17,0,0,0,Dec 28
HARFORD,194,0,0,0,Dec 28
HOWARD,122,0,0,0,Dec 28
KENT,18,0,0,0,Dec 28
MONTGOMERY,156,0,0,0,Dec 28
NON-MARYLAND,250,0,0,0,Dec 28
PRINCE GEORGES,235,0,0,0,Dec 28
QUEEN ANNES,26,0,0,0,Dec 28
SOMERSET,13,0,0,0,Dec 28
ST MARYS,36,0,0,0,Dec 28
TALBOT,28,0,0,0,Dec 28
Unknown,50,0,0,0,Dec 28
WASHINGTON,91,0,0,0,Dec 28
WICOMICO,46,0,0,0,Dec 28
WORCESTER,37,0,0,0,Dec 28
