"","geoid","place","state","households","household_2010","household_2020","median_income","median_inc_2010","median_inc_2020"
"334","2453800","Mountain Lake Park town"," Maryland","number_households",837,848,"median_income",32813,49907
"335","2453875","Mount Airy town"," Maryland","number_households",3019,3159,"median_income",99160,123750
"336","2453925","Mount Briar CDP"," Maryland","number_households",61,42,"median_income",48125,NA
"337","2454125","Mount Lena CDP"," Maryland","number_households",202,128,"median_income",38833,NA
"338","2454275","Mount Rainier city"," Maryland","number_households",3659,3963,"median_income",49119,57200
"339","2454325","Mount Savage CDP"," Maryland","number_households",363,320,"median_income",50208,43929
"340","2454375","Mount Vernon CDP"," Maryland","number_households",357,374,"median_income",52614,87895
"341","2454875","Myersville town"," Maryland","number_households",576,626,"median_income",101389,125625
"342","2454925","Nanticoke CDP"," Maryland","number_households",96,94,"median_income",43167,NA
"343","2454930","Nanticoke Acres CDP"," Maryland","number_households",0,23,"median_income",NA,NA
"344","2455000","National CDP"," Maryland","number_households",16,22,"median_income",NA,NA
"345","2455018","National Harbor CDP"," Maryland","number_households",1313,1880,"median_income",63547,109559
"346","2455050","Naval Academy CDP"," Maryland","number_households",248,257,"median_income",105625,101197
"347","2455325","Newark CDP"," Maryland","number_households",96,168,"median_income",56563,NA
"348","2455400","New Carrollton city"," Maryland","number_households",4121,4250,"median_income",60969,70776
"349","2455650","New Market town"," Maryland","number_households",213,465,"median_income",74750,153472
"350","2455925","New Windsor town"," Maryland","number_households",517,496,"median_income",82841,96818
"351","2455950","Nikep CDP"," Maryland","number_households",19,0,"median_income",45125,NA
"352","2456300","North Beach town"," Maryland","number_households",778,1114,"median_income",60213,69009
"353","2456337","North Bethesda CDP"," Maryland","number_households",18397,21218,"median_income",94054,111694
"354","2456375","North Brentwood town"," Maryland","number_households",179,209,"median_income",61042,79750
"355","2456400","North Chevy Chase village"," Maryland","number_households",197,186,"median_income",178958,196250
"356","2456450","North East town"," Maryland","number_households",1385,1420,"median_income",54591,54911
"357","2456712","North Kensington CDP"," Maryland","number_households",3765,3481,"median_income",70977,109614
"358","2456725","North Laurel CDP"," Maryland","number_households",1425,8523,"median_income",99659,103337
"359","2456875","North Potomac CDP"," Maryland","number_households",8142,8076,"median_income",139463,166383
"360","2457650","Oakland town"," Maryland","number_households",874,900,"median_income",43672,54519
"361","2458215","Ocean CDP"," Maryland","number_households",0,0,"median_income",NA,NA
"362","2458225","Ocean City town"," Maryland","number_households",3904,3720,"median_income",49000,55954
"363","2458275","Ocean Pines CDP"," Maryland","number_households",5104,5838,"median_income",63370,77518
"364","2458300","Odenton CDP"," Maryland","number_households",13896,17119,"median_income",91359,102539
"365","2458775","Oldtown CDP"," Maryland","number_households",8,18,"median_income",NA,NA
"366","2458900","Olney CDP"," Maryland","number_households",11285,11727,"median_income",124149,149155
"367","2459325","Overlea CDP"," Maryland","number_households",5084,5060,"median_income",59560,65662
"368","2459375","Owings CDP"," Maryland","number_households",652,932,"median_income",112381,137381
"369","2459425","Owings Mills CDP"," Maryland","number_households",12877,13705,"median_income",67528,83106
"370","2459450","Oxford town"," Maryland","number_households",298,425,"median_income",58750,72404
"371","2459500","Oxon Hill CDP"," Maryland","number_households",7095,6900,"median_income",64564,88718
"372","2459787","Paramount-Long Meadow CDP"," Maryland","number_households",925,920,"median_income",78052,84706
"373","2460275","Parkville CDP"," Maryland","number_households",12747,12022,"median_income",52836,68608
"374","2460325","Parole CDP"," Maryland","number_households",7366,8995,"median_income",83571,114355
"375","2460425","Parsonsburg CDP"," Maryland","number_households",142,80,"median_income",48015,49333
"376","2460475","Pasadena CDP"," Maryland","number_households",8085,11309,"median_income",88035,100832
"377","2460770","Pecktonville CDP"," Maryland","number_households",24,66,"median_income",NA,85500
"378","2460950","Peppermill Village CDP"," Maryland","number_households",1653,1755,"median_income",52582,71957
"379","2460975","Perry Hall CDP"," Maryland","number_households",11095,10408,"median_income",75162,91702
"380","2461075","Perryman CDP"," Maryland","number_households",887,971,"median_income",60063,59922
"381","2461150","Perryville town"," Maryland","number_households",1731,1748,"median_income",64034,81974
"382","2461400","Pikesville CDP"," Maryland","number_households",13642,13342,"median_income",69856,85343
"383","2461700","Pinesburg CDP"," Maryland","number_households",206,109,"median_income",63750,NA
"384","2461875","Piney Point CDP"," Maryland","number_households",388,415,"median_income",90600,123563
"385","2462025","Pittsville town"," Maryland","number_households",557,685,"median_income",50550,60170
"386","2462100","Pleasant Grove CDP"," Maryland","number_households",219,119,"median_income",31797,59904
"387","2462175","Pleasant Hills CDP"," Maryland","number_households",1182,1404,"median_income",103482,121974
"388","2462475","Pocomoke City city"," Maryland","number_households",1756,1786,"median_income",30297,38402
"389","2462575","Point of Rocks CDP"," Maryland","number_households",520,700,"median_income",128625,112155
"390","2462675","Pomfret CDP"," Maryland","number_households",216,199,"median_income",69167,99096
"391","2462775","Pondsville CDP"," Maryland","number_households",37,9,"median_income",60795,NA
"392","2462850","Poolesville town"," Maryland","number_households",1602,1640,"median_income",113036,183700
"393","2463075","Port Deposit town"," Maryland","number_households",262,258,"median_income",54022,62000
"394","2463225","Port Tobacco Village town"," Maryland","number_households",11,2,"median_income",42708,NA
"395","2463300","Potomac CDP"," Maryland","number_households",15995,16131,"median_income",162766,189729
"396","2463375","Potomac Heights CDP"," Maryland","number_households",548,636,"median_income",51420,58291
"397","2463425","Potomac Park CDP"," Maryland","number_households",403,336,"median_income",36705,44545
"398","2463725","Powellville CDP"," Maryland","number_households",45,40,"median_income",33672,NA
"399","2463825","Preston town"," Maryland","number_households",193,326,"median_income",56513,58438
"400","2463950","Prince Frederick CDP"," Maryland","number_households",988,1158,"median_income",56419,46216
"401","2464000","Princess Anne town"," Maryland","number_households",1253,1440,"median_income",40011,34397
"402","2464375","Pylesville CDP"," Maryland","number_households",216,288,"median_income",106250,114148
"403","2464475","Quantico CDP"," Maryland","number_households",38,49,"median_income",53875,104732
"404","2464495","Queen Anne CDP"," Maryland","number_households",428,439,"median_income",106250,139792
"405","2464500","Queen Anne town"," Maryland","number_households",89,94,"median_income",80313,78750
"406","2464535","Queenland CDP"," Maryland","number_households",673,NA,"median_income",120284,NA
"407","2464600","Queenstown town"," Maryland","number_households",283,313,"median_income",73882,96736
"408","2464950","Randallstown CDP"," Maryland","number_households",12015,12970,"median_income",71534,79842
"409","2465150","Rawlings CDP"," Maryland","number_households",347,160,"median_income",52939,NA
"410","2465312","Redland CDP"," Maryland","number_households",5568,5356,"median_income",96766,123005
"411","2465550","Reid CDP"," Maryland","number_households",15,0,"median_income",NA,NA
"412","2465600","Reisterstown CDP"," Maryland","number_households",10220,10512,"median_income",58170,71851
"413","2466000","Ridgely town"," Maryland","number_households",695,753,"median_income",50987,55977
"414","2466150","Ringgold CDP"," Maryland","number_households",66,45,"median_income",70714,92604
"415","2466275","Rising Sun town"," Maryland","number_households",1094,982,"median_income",56429,72021
"416","2466400","Riva CDP"," Maryland","number_households",1514,1588,"median_income",108393,126792
"417","2466635","Riverdale Park town"," Maryland","number_households",2255,2096,"median_income",51480,84695
"418","2466762","Riverside CDP"," Maryland","number_households",2407,2548,"median_income",78429,79620
"419","2466850","Riviera Beach CDP"," Maryland","number_households",4643,4618,"median_income",79645,94773
"420","2467000","Robinwood CDP"," Maryland","number_households",2818,2773,"median_income",76154,67109
"421","2467400","Rock Hall town"," Maryland","number_households",503,671,"median_income",41771,47639
"422","2467500","Rock Point CDP"," Maryland","number_households",56,30,"median_income",26250,86750
"423","2467675","Rockville city"," Maryland","number_households",23034,26439,"median_income",89418,111797
"424","2467950","Rohrersville CDP"," Maryland","number_households",117,106,"median_income",63594,69803
"425","2468300","Rosaryville CDP"," Maryland","number_households",3651,3367,"median_income",117314,128616
"426","2468400","Rosedale CDP"," Maryland","number_households",7166,7165,"median_income",62534,76577
"427","2468600","Rosemont village"," Maryland","number_households",125,135,"median_income",103750,99514
"428","2468700","Rossville CDP"," Maryland","number_households",5908,5958,"median_income",60206,77437
"429","2469200","Sabillasville CDP"," Maryland","number_households",96,123,"median_income",68796,57917
"430","2469425","St. George Island CDP"," Maryland","number_households",112,110,"median_income",103077,NA
"431","2469550","St. James CDP"," Maryland","number_households",1115,1347,"median_income",71021,84434
"432","2469675","St. Leonard CDP"," Maryland","number_households",244,197,"median_income",66875,160139
"433","2469825","St. Michaels town"," Maryland","number_households",457,679,"median_income",43523,65885
"434","2469925","Salisbury city"," Maryland","number_households",11019,12705,"median_income",38423,44474
"435","2470175","Sandy Hook CDP"," Maryland","number_households",53,117,"median_income",45329,39926
"436","2470300","San Mar CDP"," Maryland","number_households",132,87,"median_income",56607,77109
"437","2470475","Savage CDP"," Maryland","number_households",2698,2736,"median_income",87068,91453
"438","2470530","Scaggsville CDP"," Maryland","number_households",8078,NA,"median_income",101737,NA
"439","2470775","Seabrook CDP"," Maryland","number_households",5488,5644,"median_income",67295,84750
"440","2470850","Seat Pleasant city"," Maryland","number_households",1786,2074,"median_income",44408,53532
"441","2470900","Secretary town"," Maryland","number_households",247,215,"median_income",59125,46583
"442","2471150","Severn CDP"," Maryland","number_households",14798,19491,"median_income",91378,109948
"443","2471200","Severna Park CDP"," Maryland","number_households",13000,13354,"median_income",110341,151969
"444","2471450","Shady Side CDP"," Maryland","number_households",2217,1946,"median_income",88731,110417
"445","2471460","Shaft CDP"," Maryland","number_households",60,97,"median_income",26563,132782
"446","2471600","Sharpsburg town"," Maryland","number_households",310,312,"median_income",63250,75833
"447","2471650","Sharptown town"," Maryland","number_households",331,249,"median_income",48393,70625
"448","2472350","Silver Hill CDP"," Maryland","number_households",2789,2426,"median_income",57031,58262
"449","2472450","Silver Spring CDP"," Maryland","number_households",28156,32114,"median_income",67918,88274
"450","2472887","Smith Island CDP"," Maryland","number_households",121,138,"median_income",25903,69688
"451","2472900","Smithsburg town"," Maryland","number_households",901,969,"median_income",69968,88625
"452","2473075","Snow Hill town"," Maryland","number_households",960,895,"median_income",40313,46750
"453","2473325","Solomons CDP"," Maryland","number_households",1040,1044,"median_income",72321,97727
"454","2473350","Somerset town"," Maryland","number_households",442,349,"median_income",243125,250001
"455","2473600","South Kensington CDP"," Maryland","number_households",2973,2904,"median_income",131802,177946
"456","2473650","South Laurel CDP"," Maryland","number_households",9455,9888,"median_income",65986,77741
"457","2474050","Spencerville CDP"," Maryland","number_households",524,476,"median_income",112404,104333
"458","2474282","Springdale CDP"," Maryland","number_households",759,1455,"median_income",106289,119530
"459","2474350","Spring Gap CDP"," Maryland","number_households",0,19,"median_income",NA,NA
"460","2474560","Spring Ridge CDP"," Maryland","number_households",2068,2059,"median_income",94871,106078
"461","2475025","Stevensville CDP"," Maryland","number_households",2392,3144,"median_income",86932,104440
"462","2475200","Stockton CDP"," Maryland","number_households",24,27,"median_income",49265,NA
"463","2475650","Sudlersville town"," Maryland","number_households",133,200,"median_income",52054,40000
"464","2475725","Suitland CDP"," Maryland","number_households",10247,9916,"median_income",52576,62617
"465","2475810","Summerfield CDP"," Maryland","number_households",4155,5451,"median_income",65025,84276
"466","2476450","Swanton CDP"," Maryland","number_households",0,0,"median_income",NA,NA
"467","2476550","Sykesville town"," Maryland","number_households",1671,1317,"median_income",89896,110335
"468","2476650","Takoma Park city"," Maryland","number_households",6862,6619,"median_income",66660,83919
"469","2476675","Tall Timbers CDP"," Maryland","number_households",141,219,"median_income",122768,NA
"470","2476725","Taneytown city"," Maryland","number_households",2545,2639,"median_income",65869,67689
"471","2476925","Taylors Island CDP"," Maryland","number_households",109,46,"median_income",71583,NA
"472","2477100","Temple Hills CDP"," Maryland","number_households",3200,3158,"median_income",54571,68418
"473","2477200","Templeville town"," Maryland","number_households",32,49,"median_income",56250,NA
"474","2477825","Thurmont town"," Maryland","number_households",2229,2590,"median_income",71422,83654
"475","2477912","Tilghman Island CDP"," Maryland","number_households",298,365,"median_income",61786,53792
"476","2477925","Tilghmanton CDP"," Maryland","number_households",171,141,"median_income",97644,NA
"477","2478050","Timonium CDP"," Maryland","number_households",4376,3954,"median_income",74698,106513
"478","2478120","Tolchester CDP"," Maryland","number_households",232,183,"median_income",58548,126938
"479","2478425","Towson CDP"," Maryland","number_households",20736,21013,"median_income",72949,90951
"480","2478575","Trappe town"," Maryland","number_households",473,521,"median_income",50469,63819
"481","2478650","Travilah CDP"," Maryland","number_households",3793,3635,"median_income",200346,235469
"482","2478705","Trego-Rohrersville Station CDP"," Maryland","number_households",74,33,"median_income",51568,NA
"483","2479225","Tyaskin CDP"," Maryland","number_households",105,69,"median_income",96020,NA
"484","2479350","Union Bridge town"," Maryland","number_households",346,439,"median_income",43500,53750
"485","2479675","University Park town"," Maryland","number_households",996,957,"median_income",129625,154896
"486","2479875","Upper Marlboro town"," Maryland","number_households",299,276,"median_income",78750,92500
"487","2479900","Urbana CDP"," Maryland","number_households",2295,3693,"median_income",126360,152314
"488","2480075","Vale Summit CDP"," Maryland","number_households",62,65,"median_income",32188,121106
"489","2480600","Vienna town"," Maryland","number_households",117,143,"median_income",53365,74063
"490","2481175","Waldorf CDP"," Maryland","number_households",23498,28360,"median_income",82326,101733
"491","2481250","Walker Mill CDP"," Maryland","number_households",4488,4171,"median_income",60184,66713
"492","2481275","Walkersville town"," Maryland","number_households",1987,2468,"median_income",82891,107781
"493","2481675","Washington Grove town"," Maryland","number_households",180,283,"median_income",115714,127917
"494","2481925","Waterview CDP"," Maryland","number_households",32,10,"median_income",48864,NA
"495","2482625","West Denton CDP"," Maryland","number_households",45,8,"median_income",23750,NA
"496","2482750","Westernport town"," Maryland","number_households",838,695,"median_income",34397,45078
"497","2483025","West Laurel CDP"," Maryland","number_households",1402,1412,"median_income",116359,140357
"498","2483100","Westminster city"," Maryland","number_households",6678,7321,"median_income",48117,64399
"499","2483225","West Ocean City CDP"," Maryland","number_households",1816,1966,"median_income",69643,90426
"500","2483290","Westphalia CDP"," Maryland","number_households",2306,3309,"median_income",81339,134421
"501","2483337","West Pocomoke CDP"," Maryland","number_households",209,227,"median_income",37450,NA
"502","2483746","Whaleyville CDP"," Maryland","number_households",65,24,"median_income",72981,NA
"503","2483775","Wheaton CDP"," Maryland","number_households",14214,15864,"median_income",69008,88241
"504","2484225","Whitehaven CDP"," Maryland","number_households",53,75,"median_income",24375,NA
"505","2484350","White Marsh CDP"," Maryland","number_households",3738,3658,"median_income",83119,96809
"506","2484375","White Oak CDP"," Maryland","number_households",6485,5551,"median_income",61032,68559
"507","2484950","Willards town"," Maryland","number_households",372,407,"median_income",44762,47461
"508","2485100","Williamsport town"," Maryland","number_households",1047,869,"median_income",41189,49583
"509","2485175","Williston CDP"," Maryland","number_households",102,68,"median_income",69844,160192
"510","2485395","Wilson-Conococheague CDP"," Maryland","number_households",811,875,"median_income",51066,42486
"511","2486275","Woodland CDP"," Maryland","number_households",32,24,"median_income",65000,28929
"512","2486475","Woodlawn CDP (Baltimore County)"," Maryland","number_households",14697,14753,"median_income",61086,70087
"513","2486525","Woodlawn CDP (Prince George's County)"," Maryland","number_households",2135,1875,"median_income",61090,77073
"514","2486710","Woodmore CDP"," Maryland","number_households",1307,1642,"median_income",156847,168245
"515","2486750","Woodsboro town"," Maryland","number_households",394,416,"median_income",66750,102500
"516","2487000","Worton CDP"," Maryland","number_households",64,57,"median_income",56429,87596
"517","2487150","Yarrowsburg CDP"," Maryland","number_households",29,79,"median_income",87868,NA
"518","2487275","Zihlman CDP"," Maryland","number_households",161,157,"median_income",43359,44766
"519","2400200","Abingdon CDP"," Maryland","number_households",NA,1801,"median_income",NA,128478
"520","2406662","Bensville CDP"," Maryland","number_households",NA,4441,"median_income",NA,140060
"521","2410737","Brown Station CDP"," Maryland","number_households",NA,1228,"median_income",NA,126250
"522","2411550","Burnt Mills CDP"," Maryland","number_households",NA,1131,"median_income",NA,103207
"523","2412175","Callaway CDP"," Maryland","number_households",NA,566,"median_income",NA,62262
"524","2414550","Cedar Heights CDP"," Maryland","number_households",NA,611,"median_income",NA,83194
"525","2416025","Chesapeake Landing CDP"," Maryland","number_households",NA,57,"median_income",NA,NA
"526","2421150","Crumpton CDP"," Maryland","number_households",NA,164,"median_income",NA,65833
"527","2424050","Dunkirk CDP"," Maryland","number_households",NA,715,"median_income",NA,135750
"528","2428512","Flower Hill CDP"," Maryland","number_households",NA,4505,"median_income",NA,87017
"529","2434350","Graceham CDP"," Maryland","number_households",NA,100,"median_income",NA,107321
"530","2435412","Green Valley CDP"," Maryland","number_households",NA,3974,"median_income",NA,145158
"531","2440200","Honeygo CDP"," Maryland","number_households",NA,4035,"median_income",NA,117209
"532","2441025","Huntingtown CDP"," Maryland","number_households",NA,896,"median_income",NA,160000
"533","2446650","Lewistown CDP"," Maryland","number_households",NA,179,"median_income",NA,96250
"534","2447250","Lisbon CDP"," Maryland","number_households",NA,19,"median_income",NA,NA
"535","2451125","Maryland Park CDP"," Maryland","number_households",NA,215,"median_income",NA,93692
"536","2451940","Melwood CDP"," Maryland","number_households",NA,1588,"median_income",NA,81944
"537","2464568","Queensland CDP"," Maryland","number_households",NA,623,"median_income",NA,143906
"538","2468265","Romancoke CDP"," Maryland","number_households",NA,702,"median_income",NA,94423
"539","2470525","Scaggsville CDP"," Maryland","number_households",NA,3072,"median_income",NA,163462
"540","2475150","Still Pond CDP"," Maryland","number_households",NA,35,"median_income",NA,NA
"541","2477262","Ten Mile Creek CDP"," Maryland","number_households",NA,194,"median_income",NA,147232
"542","2484784","Wildewood CDP"," Maryland","number_households",NA,2658,"median_income",NA,111333
