LocationType,Location,TimeFrame,DataFormat,Statistics
County,Talbot,2004,Number,816
County,Talbot,2004,Percent,0.114
County,Talbot,2005,Number,811
County,Talbot,2005,Percent,0.116
County,Talbot,2006,Number,819
County,Talbot,2006,Percent,0.117
County,Talbot,2007,Number,866
County,Talbot,2007,Percent,0.122
County,Talbot,2008,Number,875
County,Talbot,2008,Percent,0.125
County,Talbot,2009,Number,997
County,Talbot,2009,Percent,0.141
County,Talbot,2010,Number,1083
County,Talbot,2010,Percent,0.149
County,Talbot,2011,Number,1221
County,Talbot,2011,Percent,0.171
County,Talbot,2012,Number,1110
County,Talbot,2012,Percent,0.155
County,Talbot,2013,Number,1173
County,Talbot,2013,Percent,0.167
County,Talbot,2014,Number,1238
County,Talbot,2014,Percent,0.179
County,Talbot,2015,Number,1093
County,Talbot,2015,Percent,0.159
County,Talbot,2016,Number,1092
County,Talbot,2016,Percent,0.16
County,Talbot,2017,Number,994
County,Talbot,2017,Percent,0.148
County,Talbot,2018,Number,967
County,Talbot,2018,Percent,0.146
County,Talbot,2019,Number,872
County,Talbot,2019,Percent,0.131
County,Talbot,2020,Number,957
County,Talbot,2020,Percent,0.147
County,Washington,2003,Number,4428
County,Washington,2003,Percent,0.141
County,Washington,2004,Number,4298
County,Washington,2004,Percent,0.134
County,Washington,2005,Number,3907
County,Washington,2005,Percent,0.124
County,Washington,2006,Number,3740
County,Washington,2006,Percent,0.121
County,Washington,2007,Number,4315
County,Washington,2007,Percent,0.133
County,Washington,2008,Number,4162
County,Washington,2008,Percent,0.129
County,Washington,2009,Number,5243
County,Washington,2009,Percent,0.16
County,Washington,2010,Number,5536
County,Washington,2010,Percent,0.168
County,Washington,2011,Number,5796
County,Washington,2011,Percent,0.177
County,Washington,2012,Number,6627
County,Washington,2012,Percent,0.203
County,Washington,2013,Number,5613
County,Washington,2013,Percent,0.172
County,Washington,2014,Number,6460
County,Washington,2014,Percent,0.199
County,Washington,2015,Number,5769
County,Washington,2015,Percent,0.178
County,Washington,2016,Number,5740
County,Washington,2016,Percent,0.176
County,Washington,2017,Number,6098
County,Washington,2017,Percent,0.187
County,Washington,2018,Number,5304
County,Washington,2018,Percent,0.165
County,Washington,2019,Number,5407
County,Washington,2019,Percent,0.17
County,Washington,2020,Number,5383
County,Washington,2020,Percent,0.169
County,Wicomico,2003,Number,3633
County,Wicomico,2003,Percent,0.173
County,Wicomico,2004,Number,3484
County,Wicomico,2004,Percent,0.163
County,Wicomico,2005,Number,4167
County,Wicomico,2005,Percent,0.198
County,Wicomico,2006,Number,3568
County,Wicomico,2006,Percent,0.172
County,Wicomico,2007,Number,3695
County,Wicomico,2007,Percent,0.172
County,Wicomico,2008,Number,3665
County,Wicomico,2008,Percent,0.171
County,Wicomico,2009,Number,3984
County,Wicomico,2009,Percent,0.184
County,Wicomico,2010,Number,5000
County,Wicomico,2010,Percent,0.231
County,Wicomico,2011,Number,5110
County,Wicomico,2011,Percent,0.237
County,Wicomico,2012,Number,5347
County,Wicomico,2012,Percent,0.245
County,Wicomico,2013,Number,5044
County,Wicomico,2013,Percent,0.232
County,Wicomico,2014,Number,5143
County,Wicomico,2014,Percent,0.235
County,Wicomico,2015,Number,4764
County,Wicomico,2015,Percent,0.217
County,Wicomico,2016,Number,5350
County,Wicomico,2016,Percent,0.241
County,Wicomico,2017,Number,4597
County,Wicomico,2017,Percent,0.205
County,Wicomico,2018,Number,4484
County,Wicomico,2018,Percent,0.201
County,Wicomico,2019,Number,5133
County,Wicomico,2019,Percent,0.231
County,Wicomico,2020,Number,4256
County,Wicomico,2020,Percent,0.192
County,Worcester,2003,Number,1526
County,Worcester,2003,Percent,0.161
County,Worcester,2004,Number,1435
County,Worcester,2004,Percent,0.153
County,Worcester,2005,Number,1576
County,Worcester,2005,Percent,0.171
County,Worcester,2006,Number,1407
County,Worcester,2006,Percent,0.158
County,Worcester,2007,Number,1523
County,Worcester,2007,Percent,0.165
County,Worcester,2008,Number,1602
County,Worcester,2008,Percent,0.177
County,Worcester,2009,Number,1814
County,Worcester,2009,Percent,0.282
County,Worcester,2010,Number,1881
County,Worcester,2010,Percent,0.203
County,Worcester,2011,Number,2072
County,Worcester,2011,Percent,0.228
County,Worcester,2012,Number,1936
County,Worcester,2012,Percent,0.213
County,Worcester,2013,Number,2012
County,Worcester,2013,Percent,0.22
County,Worcester,2014,Number,1873
County,Worcester,2014,Percent,0.205
County,Worcester,2015,Number,1856
County,Worcester,2015,Percent,0.207
County,Worcester,2016,Number,1782
County,Worcester,2016,Percent,0.199
County,Worcester,2017,Number,1440
County,Worcester,2017,Percent,0.161
County,Worcester,2018,Number,1552
County,Worcester,2018,Percent,0.177
County,Worcester,2019,Number,1355
County,Worcester,2019,Percent,0.155
County,Worcester,2020,Number,1631
County,Worcester,2020,Percent,0.186
