"","workorderid","date","description","address","details","address1"
"535","1336027","4/25/2024","WATER JOINT LEAK","7712 INWOOD AVE","yes","7712 INWOOD AVE, baltimore"
"536","1336183","4/25/2024","WATER MAIN BREAK","1722 BELMONT AVE","yes","1722 BELMONT AVE, baltimore"
"537","1336207","4/26/2024","WATER JOINT LEAK","6721 VALLEY CREEK DR","yes","6721 VALLEY CREEK DR, baltimore"
"538","1336455","4/26/2024","WATER JOINT LEAK","1441 GALENA RD","yes","1441 GALENA RD, baltimore"
"539","1336499","4/27/2024","WATER MAIN BREAK","9232 RAVENWOOD RD","yes","9232 RAVENWOOD RD, baltimore"
"540","1336522","4/28/2024","WATER MAIN BREAK","2901 VIRGINIA AVE","yes","2901 VIRGINIA AVE, baltimore"
"541","1336754","4/29/2024","WATER MAIN BREAK","2140 BARRISON POINT RD","yes","2140 BARRISON POINT RD, baltimore"
"542","1336791","4/29/2024","WATER MAIN BREAK","3500 TEMPLAR RD","yes","3500 TEMPLAR RD, baltimore"
"543","1336920","4/29/2024","WATER MAIN BREAK","1800 WEST FAYETTE ST","yes","1800 WEST FAYETTE ST, baltimore"
"544","1336927","4/29/2024","WATER MAIN BREAK","8101 PARK HEIGHTS AVE","yes","8101 PARK HEIGHTS AVE, baltimore"
"545","1336982","4/30/2024","WATER MAIN BREAK","1440 NORTH EDEN ST","yes","1440 NORTH EDEN ST, baltimore"
"546","1337108","4/30/2024","WATER MAIN BREAK","7309 CAMPFIELD RD","yes","7309 CAMPFIELD RD, baltimore"
"547","1337234","4/30/2024","WATER MAIN BREAK","8421 TALLY HO RD","yes","8421 TALLY HO RD, baltimore"
"548","1337250","4/30/2024","WATER MAIN BREAK","27 HOBART CT","yes","27 HOBART CT, baltimore"
"549","1337251","4/30/2024","WATER MAIN BREAK","2858 HARLEM AVE","yes","2858 HARLEM AVE, baltimore"
"550","1337585","5/1/2024","WATER MAIN BREAK","2862 HARLEM AVE","yes","2862 HARLEM AVE, baltimore"
"551","1337686","5/2/2024","WATER MAIN BREAK","5519 WILLYS AVE","yes","5519 WILLYS AVE, baltimore"
"552","1337715","5/2/2024","WATER MAIN BREAK","505 ENOLA RD","yes","505 ENOLA RD, baltimore"
"553","1337782","5/2/2024","WATER JOINT LEAK","4500 REISTERSTOWN RD","yes","4500 REISTERSTOWN RD, baltimore"
"554","1337918","5/2/2024","WATER JOINT LEAK","30 HOBART CT","yes","30 HOBART CT, baltimore"
"555","1338005","5/3/2024","WATER MAIN BREAK","436 ESSEXWOOD CT","yes","436 ESSEXWOOD CT, baltimore"
"556","1338015","5/3/2024","WATER MAIN BREAK","1310 RACQUET RD","yes","1310 RACQUET RD, baltimore"
"557","1338196","5/3/2024","WATER MAIN BREAK","919 SOUTH EAST AVE","yes","919 SOUTH EAST AVE, baltimore"
"558","1338228","5/3/2024","WATER MAIN BREAK","900 WEST MULBERRY ST","yes","900 WEST MULBERRY ST, baltimore"
"559","1338366","5/4/2024","WATER MAIN BREAK","4 STONEGATE CT","yes","4 STONEGATE CT, baltimore"
"560","1338369","5/4/2024","WATER MAIN BREAK","439 EASTLYNNE AVE","yes","439 EASTLYNNE AVE, baltimore"
"561","1338436","5/5/2024","WATER MAIN BREAK","1 KILBEGGAN GRN","yes","1 KILBEGGAN GRN, baltimore"
"562","1338642","5/6/2024","WATER MAIN BREAK","1117 CONCORDIA DR","yes","1117 CONCORDIA DR, baltimore"
"563","1338793","5/6/2024","WATER MAIN BREAK","1159 CARROLL ST","yes","1159 CARROLL ST, baltimore"
"564","1338881","5/7/2024","WATER MAIN BREAK","4504 FAIRFAX RD","yes","4504 FAIRFAX RD, baltimore"
"565","1338960","5/7/2024","WATER JOINT LEAK","9408 JODALE RD","yes","9408 JODALE RD, baltimore"
"566","1339025","5/7/2024","WATER JOINT LEAK","5519 WILLYS AVE","yes","5519 WILLYS AVE, baltimore"
"567","1339032","5/7/2024","WATER MAIN BREAK","632 DUMBARTON AVE","yes","632 DUMBARTON AVE, baltimore"
"568","1339295","5/8/2024","WATER JOINT LEAK","9601 BELAIR RD","yes","9601 BELAIR RD, baltimore"
"569","1339386","5/8/2024","WATER MAIN BREAK","1929 SILVER LN","yes","1929 SILVER LN, baltimore"
"570","1339435","5/8/2024","WATER MAIN BREAK","500 SUNSET RD","yes","500 SUNSET RD, baltimore"
"571","1339466","5/8/2024","WATER JOINT LEAK","4236 PARKSIDE DR","yes","4236 PARKSIDE DR, baltimore"
"572","1339551","5/8/2024","WATER MAIN BREAK","4801 WRENWOOD AVE","yes","4801 WRENWOOD AVE, baltimore"
"573","1339583","5/9/2024","WATER MAIN BREAK","5605 EVERHURST RD","yes","5605 EVERHURST RD, baltimore"
"574","1339755","5/9/2024","WATER JOINT LEAK","622 COLERAINE RD","yes","622 COLERAINE RD, baltimore"
"575","1339809","5/9/2024","WATER JOINT LEAK","9408 JODALE RD","yes","9408 JODALE RD, baltimore"
"576","1339897","5/9/2024","WATER JOINT LEAK","100 LONGDALE RD","yes","100 LONGDALE RD, baltimore"
"577","1339931","5/9/2024","WATER MAIN BREAK","8900 KELSO DR","yes","8900 KELSO DR, baltimore"
"578","1340082","5/10/2024","WATER JOINT LEAK","1705 NOTRE DAME AVE","yes","1705 NOTRE DAME AVE, baltimore"
"579","1340268","5/11/2024","WATER MAIN BREAK","2801 OVERLAND AVE","yes","2801 OVERLAND AVE, baltimore"
"580","1340319","5/12/2024","WATER MAIN BREAK","100 LONGDALE RD","yes","100 LONGDALE RD, baltimore"
"581","1340324","5/12/2024","WATER MAIN BREAK","9431 DAWN DR","yes","9431 DAWN DR, baltimore"
"582","1340361","5/13/2024","WATER JOINT LEAK","8506 OLD HARFORD RD","yes","8506 OLD HARFORD RD, baltimore"
"583","1340428","5/13/2024","WATER MAIN BREAK","725 WEST LOMBARD ST","yes","725 WEST LOMBARD ST, baltimore"
"584","1340461","5/13/2024","WATER MAIN BREAK","5509 EAST AVE","yes","5509 EAST AVE, baltimore"
"585","1340609","5/13/2024","WATER JOINT LEAK","2116 MONUMENTAL RD","yes","2116 MONUMENTAL RD, baltimore"
"586","1340739","5/14/2024","WATER JOINT LEAK","1434 PLEASANT VALLEY DR","yes","1434 PLEASANT VALLEY DR, baltimore"
"587","1340849","5/14/2024","WATER JOINT LEAK","8506 OLD HARFORD RD","yes","8506 OLD HARFORD RD, baltimore"
"588","1340960","5/14/2024","WATER MAIN BREAK","9134 AVENUE C","yes","9134 AVENUE C, baltimore"
"589","1341007","5/15/2024","WATER MAIN BREAK","9618 BUTTON BUCK CIR","yes","9618 BUTTON BUCK CIR, baltimore"
"590","1341158","5/15/2024","WATER JOINT LEAK","741 SOUTH CURLEY ST","yes","741 SOUTH CURLEY ST, baltimore"
"591","1343142","5/17/2024","WATER MAIN BREAK","31 NORTH FULTON AVE","yes","31 NORTH FULTON AVE, baltimore"
"592","1343168","5/17/2024","WATER MAIN BREAK","313 BIGLEY AVE","yes","313 BIGLEY AVE, baltimore"
"593","1343211","5/17/2024","WATER JOINT LEAK","3722 GREENMOUNT AVE","yes","3722 GREENMOUNT AVE, baltimore"
"594","1343214","5/17/2024","WATER MAIN BREAK","725 WEST LOMBARD ST","yes","725 WEST LOMBARD ST, baltimore"
"595","1343275","5/17/2024","WATER JOINT LEAK","739 SOUTH CURLEY ST","yes","739 SOUTH CURLEY ST, baltimore"
"596","1343366","5/17/2024","WATER MAIN BREAK","301 BIGLEY AVE","yes","301 BIGLEY AVE, baltimore"
"597","1343382","5/17/2024","WATER MAIN BREAK","213 WILSON ST","yes","213 WILSON ST, baltimore"
"598","1343415","5/17/2024","WATER MAIN BREAK","4234 PARKSIDE DR","yes","4234 PARKSIDE DR, baltimore"
"599","1343431","5/17/2024","WATER MAIN BREAK","6 LINEAGE CT","yes","6 LINEAGE CT, baltimore"
"600","1343450","5/18/2024","WATER MAIN BREAK","3638 ELTHAM WAY","yes","3638 ELTHAM WAY, baltimore"
"601","1343462","5/18/2024","WATER MAIN BREAK","6123 FAIRWOOD AVE","yes","6123 FAIRWOOD AVE, baltimore"
"602","1344154","5/21/2024","WATER JOINT LEAK","2860 HARLEM AVE","yes","2860 HARLEM AVE, baltimore"
"603","1344430","5/22/2024","WATER JOINT LEAK","1628 MELBY CT","yes","1628 MELBY CT, baltimore"
"604","1344511","5/22/2024","WATER MAIN BREAK","1811 NORTH CHESTER ST","yes","1811 NORTH CHESTER ST, baltimore"
"605","1344565","5/22/2024","WATER JOINT LEAK","3004 3RD AVE","yes","3004 3RD AVE, baltimore"
"606","1344739","5/23/2024","WATER JOINT LEAK","2729 RAYNER AVE","yes","2729 RAYNER AVE, baltimore"
"607","1344809","5/23/2024","WATER JOINT LEAK","2858 HARLEM AVE","yes","2858 HARLEM AVE, baltimore"
"608","1344844","5/23/2024","WATER JOINT LEAK","27 HOBART CT","yes","27 HOBART CT, baltimore"
"609","1344938","5/23/2024","WATER JOINT LEAK","1807 WEST LANVALE ST","yes","1807 WEST LANVALE ST, baltimore"
"610","1345135","5/24/2024","WATER MAIN BREAK","8615 LUCERNE RD","yes","8615 LUCERNE RD, baltimore"
"611","1345152","5/24/2024","WATER JOINT LEAK","4 STONEGATE CT","yes","4 STONEGATE CT, baltimore"
"612","1345244","5/25/2024","WATER MAIN BREAK","521 WEST 27TH ST","yes","521 WEST 27TH ST, baltimore"
"613","1345284","5/27/2024","WATER MAIN BREAK","4200 FURLEY AVE","yes","4200 FURLEY AVE, baltimore"
"614","1345319","5/27/2024","WATER MAIN BREAK","5117 SOUTH ST","yes","5117 SOUTH ST, baltimore"
"615","1345482","5/28/2024","WATER MAIN BREAK","3004 3RD AVE","yes","3004 3RD AVE, baltimore"
"616","1345552","5/28/2024","WATER JOINT LEAK","3320 SUMMIT AVE","yes","3320 SUMMIT AVE, baltimore"
"617","1345795","5/29/2024","WATER MAIN BREAK","800 BATTERY AVE","yes","800 BATTERY AVE, baltimore"
"618","1345823","5/29/2024","WATER MAIN BREAK","8821 JASPER LN","yes","8821 JASPER LN, baltimore"
"619","1345937","5/29/2024","WATER MAIN BREAK","6 KIRK HILL CT","yes","6 KIRK HILL CT, baltimore"
"620","1346093","5/29/2024","WATER MAIN BREAK","2710 BARTOL AVE","yes","2710 BARTOL AVE, baltimore"
"621","1346425","5/29/2024","WATER MAIN BREAK","5801 POPLAR HILL RD","yes","5801 POPLAR HILL RD, baltimore"
"622","1346674","5/29/2024","WATER MAIN BREAK","500 SOUTH DUNCAN ST","yes","500 SOUTH DUNCAN ST, baltimore"
"623","1346727","5/29/2024","WATER MAIN BREAK","11024 REISTERSTOWN RD","yes","11024 REISTERSTOWN RD, baltimore"
"624","1346969","5/29/2024","WATER MAIN BREAK","3821 PULASKI HWY","yes","3821 PULASKI HWY, baltimore"
"625","1346998","5/30/2024","WATER MAIN BREAK","1500 SULPHUR SPRING RD","yes","1500 SULPHUR SPRING RD, baltimore"
"626","1347026","5/30/2024","WATER MAIN BREAK","841 BELGIAN AVE","yes","841 BELGIAN AVE, baltimore"
"627","1347037","5/30/2024","WATER MAIN BREAK","1804 WEST BALTIMORE ST","yes","1804 WEST BALTIMORE ST, baltimore"
"628","1347174","5/30/2024","WATER MAIN BREAK","6909 CIRCLE RD","yes","6909 CIRCLE RD, baltimore"
"629","1347236","5/30/2024","WATER MAIN BREAK","621 KINGSTON RD","yes","621 KINGSTON RD, baltimore"
"630","1347423","5/31/2024","WATER MAIN BREAK","6200 FRANKFORD AVE","yes","6200 FRANKFORD AVE, baltimore"
"631","1347435","5/31/2024","WATER MAIN BREAK","222 NORTH CALVERTON RD","yes","222 NORTH CALVERTON RD, baltimore"
"632","1347554","5/31/2024","WATER JOINT LEAK","4 STONEGATE CT","yes","4 STONEGATE CT, baltimore"
"633","1347825","6/1/2024","WATER MAIN BREAK","1971 GREENBERRY RD","yes","1971 GREENBERRY RD, baltimore"
"634","1347835","6/1/2024","WATER MAIN BREAK","310 SOUTH CATHERINE ST","yes","310 SOUTH CATHERINE ST, baltimore"
"635","1347855","6/1/2024","WATER MAIN BREAK","614 KINGSTON RD","yes","614 KINGSTON RD, baltimore"
"636","1347875","6/2/2024","WATER MAIN BREAK","203 WESTWAY","yes","203 WESTWAY, baltimore"
"637","1347931","6/3/2024","WATER MAIN BREAK","8207 LIBERTY RD","yes","8207 LIBERTY RD, baltimore"
"638","1347942","6/3/2024","WATER MAIN BREAK","2048 ROBB ST","yes","2048 ROBB ST, baltimore"
"639","1348018","6/3/2024","WATER MAIN BREAK","327 SOUTH BRUCE ST","yes","327 SOUTH BRUCE ST, baltimore"
"640","1348059","6/3/2024","WATER JOINT LEAK","619 KINGSTON RD","yes","619 KINGSTON RD, baltimore"
"641","1348060","6/3/2024","WATER JOINT LEAK","619 KINGSTON RD","yes","619 KINGSTON RD, baltimore"
"642","1348383","6/3/2024","WATER MAIN BREAK","224 EAST BIDDLE ST","yes","224 EAST BIDDLE ST, baltimore"
"643","1348732","6/4/2024","WATER MAIN BREAK","8 CLIPSTONE CT","yes","8 CLIPSTONE CT, baltimore"
"644","1348768","6/4/2024","WATER JOINT LEAK","1409 GIBSONWOOD RD","yes","1409 GIBSONWOOD RD, baltimore"
"645","1348896","6/4/2024","WATER JOINT LEAK","302 SOUTH CATHERINE ST","yes","302 SOUTH CATHERINE ST, baltimore"
"646","1349058","6/5/2024","WATER MAIN BREAK","3 KIRK HILL CT","yes","3 KIRK HILL CT, baltimore"
"647","1349156","6/5/2024","WATER MAIN BREAK","9 SLATE MILLS CT","yes","9 SLATE MILLS CT, baltimore"
"648","1349178","6/5/2024","WATER MAIN BREAK","4808 HOMER AVE","yes","4808 HOMER AVE, baltimore"
"649","1349449","6/6/2024","WATER MAIN BREAK","4805 RIDGE RD","yes","4805 RIDGE RD, baltimore"
"650","1349470","6/6/2024","WATER MAIN BREAK","4501 RASPE AVE","yes","4501 RASPE AVE, baltimore"
"651","1349523","6/6/2024","WATER JOINT LEAK","503 EDGEVALE RD","yes","503 EDGEVALE RD, baltimore"
"652","1349539","6/6/2024","WATER MAIN BREAK","544 NEW PITTSBURG AVE","yes","544 NEW PITTSBURG AVE, baltimore"
"653","1349615","6/7/2024","WATER MAIN BREAK","5117 LEEDS AVE","yes","5117 LEEDS AVE, baltimore"
"654","1349652","6/7/2024","WATER MAIN BREAK","3411 DUNDALK AVE","yes","3411 DUNDALK AVE, baltimore"
"655","1349769","6/7/2024","WATER JOINT LEAK","4312 ROLAND AVE","yes","4312 ROLAND AVE, baltimore"
"656","1349901","6/7/2024","WATER MAIN BREAK","904 PINE HEIGHTS AVE","yes","904 PINE HEIGHTS AVE, baltimore"
"657","1349924","6/8/2024","WATER MAIN BREAK","1722 HOMESTEAD ST","yes","1722 HOMESTEAD ST, baltimore"
"658","1349939","6/8/2024","WATER MAIN BREAK","4436 RASPE AVE","yes","4436 RASPE AVE, baltimore"
"659","1349955","6/8/2024","WATER MAIN BREAK","2010 FERNGLEN WAY","yes","2010 FERNGLEN WAY, baltimore"
"660","1349969","6/9/2024","WATER MAIN BREAK","1442 CLAIRIDGE RD","yes","1442 CLAIRIDGE RD, baltimore"
"661","1350052","6/10/2024","WATER MAIN BREAK","10563 INDUSTRIAL PARK RD","yes","10563 INDUSTRIAL PARK RD, baltimore"
"662","1350183","6/10/2024","WATER MAIN BREAK","4611 NEWGATE AVE","yes","4611 NEWGATE AVE, baltimore"
"663","1350265","6/10/2024","WATER MAIN BREAK","1800 NORTH CHESTER ST","yes","1800 NORTH CHESTER ST, baltimore"
"664","1350412","6/11/2024","WATER MAIN BREAK","1700 NORTH COLLINGTON AVE","yes","1700 NORTH COLLINGTON AVE, baltimore"
"665","1350417","6/11/2024","WATER MAIN BREAK","2600 MARBOURNE AVE","yes","2600 MARBOURNE AVE, baltimore"
"666","1350596","6/11/2024","WATER JOINT LEAK","503 ENOLA RD","yes","503 ENOLA RD, baltimore"
"667","1350844","6/12/2024","WATER MAIN BREAK","6600 CEDONIA AVE","yes","6600 CEDONIA AVE, baltimore"
"668","1350862","6/12/2024","WATER MAIN BREAK","4810 HOMER AVE","yes","4810 HOMER AVE, baltimore"
"669","1350881","6/12/2024","WATER MAIN BREAK","4810 HOMER AVE","yes","4810 HOMER AVE, baltimore"
"670","1351049","6/12/2024","WATER MAIN BREAK","514 OAKLAND AVE","yes","514 OAKLAND AVE, baltimore"
"671","1351062","6/12/2024","WATER MAIN BREAK","21 LINDEN AVE","yes","21 LINDEN AVE, baltimore"
"672","1351080","6/12/2024","WATER MAIN BREAK","3500 6TH ST","yes","3500 6TH ST, baltimore"
"673","1351126","6/13/2024","WATER MAIN BREAK","6600 BLK CEDONIA AVE","yes","6600 BLK CEDONIA AVE, baltimore"
"674","1351130","6/13/2024","WATER MAIN BREAK","1007 CHURCH ST","yes","1007 CHURCH ST, baltimore"
"675","1351245","6/13/2024","WATER MAIN BREAK","2812 3RD ST","yes","2812 3RD ST, baltimore"
"676","1351524","6/13/2024","WATER MAIN BREAK","6310 FRANKFORD AVE","yes","6310 FRANKFORD AVE, baltimore"
"677","1351529","6/13/2024","WATER MAIN BREAK","4808 HOMER AVE","yes","4808 HOMER AVE, baltimore"
"678","1351530","6/13/2024","WATER MAIN BREAK","311 BIGLEY AVE","yes","311 BIGLEY AVE, baltimore"
"679","1351566","6/13/2024","WATER MAIN BREAK","800 SOUTH CAREY ST","yes","800 SOUTH CAREY ST, baltimore"
"680","1351610","6/14/2024","WATER MAIN BREAK","4314 HIGHVIEW AVE","yes","4314 HIGHVIEW AVE, baltimore"
"681","1351621","6/14/2024","WATER MAIN BREAK","6524 BLK RIVERVIEW AVE","yes","6524 BLK RIVERVIEW AVE, baltimore"
"682","1351798","6/14/2024","WATER JOINT LEAK","2010 GREENGAGE RD","yes","2010 GREENGAGE RD, baltimore"
"683","1351818","6/15/2024","WATER MAIN BREAK","8016 LIBERTY RD","yes","8016 LIBERTY RD, baltimore"
"684","1351820","6/15/2024","WATER MAIN BREAK","7903 HILLTOP AVE","yes","7903 HILLTOP AVE, baltimore"
"685","1351825","6/15/2024","WATER MAIN BREAK","2343 WEST LEXINGTON ST","yes","2343 WEST LEXINGTON ST, baltimore"
"686","1351855","6/15/2024","WATER MAIN BREAK","1809 DIXON RD","yes","1809 DIXON RD, baltimore"
"687","1351868","6/16/2024","WATER MAIN BREAK","10 LINEAGE CT","yes","10 LINEAGE CT, baltimore"
"688","1351870","6/16/2024","WATER MAIN BREAK","6004 NAHANT RD","yes","6004 NAHANT RD, baltimore"
"689","1351909","6/17/2024","WATER JOINT LEAK","3444 GAITHER RD","yes","3444 GAITHER RD, baltimore"
"690","1352094","6/17/2024","WATER JOINT LEAK","900 WEST MULBERRY ST","yes","900 WEST MULBERRY ST, baltimore"
"691","1352161","6/17/2024","WATER MAIN BREAK","2210 HENNEMAN AVE","yes","2210 HENNEMAN AVE, baltimore"
"692","1352182","6/18/2024","WATER JOINT LEAK","314 SOUTH POPPLETON ST","yes","314 SOUTH POPPLETON ST, baltimore"
"693","1352207","6/18/2024","WATER MAIN BREAK","1809 DIXON RD","yes","1809 DIXON RD, baltimore"
"694","1352305","6/18/2024","WATER MAIN BREAK","21 NORTH GILMOR ST","yes","21 NORTH GILMOR ST, baltimore"
"695","1352431","6/18/2024","WATER MAIN BREAK","1808 DIXON RD","yes","1808 DIXON RD, baltimore"
"696","1352462","6/19/2024","WATER MAIN BREAK","2340 RESEARCH AVE","yes","2340 RESEARCH AVE, baltimore"
"697","1352505","6/20/2024","WATER MAIN BREAK","6622 EDENVALE RD","yes","6622 EDENVALE RD, baltimore"
"698","1352536","6/20/2024","WATER MAIN BREAK","5401 DOLORES AVE","yes","5401 DOLORES AVE, baltimore"
"699","1352721","6/20/2024","WATER JOINT LEAK","330 BIGLEY AVE","yes","330 BIGLEY AVE, baltimore"
"700","1352750","6/20/2024","WATER MAIN BREAK","401 EAST 22ND ST","yes","401 EAST 22ND ST, baltimore"
"701","1352779","6/20/2024","WATER MAIN BREAK","6 YORK MILLS CT","yes","6 YORK MILLS CT, baltimore"
"702","1352807","6/21/2024","WATER JOINT LEAK","1254 CIRCLE DR","yes","1254 CIRCLE DR, baltimore"
"703","1352924","6/21/2024","WATER MAIN BREAK","2712 WEST GARRISON AVE","yes","2712 WEST GARRISON AVE, baltimore"
"704","1353007","6/21/2024","WATER MAIN BREAK","8 THURKILL CT","yes","8 THURKILL CT, baltimore"
"705","1353036","6/22/2024","WATER MAIN BREAK","3605 WOODBINE AVE","yes","3605 WOODBINE AVE, baltimore"
"706","1353042","6/22/2024","WATER MAIN BREAK","603 WEST SEMINARY AVE","yes","603 WEST SEMINARY AVE, baltimore"
"707","1353050","6/22/2024","WATER MAIN BREAK","1342 POPLAR AVE","yes","1342 POPLAR AVE, baltimore"
"708","1353397","6/24/2024","WATER MAIN BREAK","8235 BRATTLE RD","yes","8235 BRATTLE RD, baltimore"
"709","1353434","6/24/2024","WATER MAIN BREAK","6600 CEDONIA AVE","yes","6600 CEDONIA AVE, baltimore"
"710","1353525","6/25/2024","WATER JOINT LEAK","1254 CIRCLE DR","yes","1254 CIRCLE DR, baltimore"
"711","1353544","6/25/2024","WATER MAIN BREAK","1301 WILCOX ST","yes","1301 WILCOX ST, baltimore"
"712","1353580","6/25/2024","WATER MAIN BREAK","3411 DUNDALK AVE","yes","3411 DUNDALK AVE, baltimore"
"713","1353612","6/25/2024","WATER MAIN BREAK","1399 CROMWELL BRIDGE RD","yes","1399 CROMWELL BRIDGE RD, baltimore"
"714","1353667","6/25/2024","WATER JOINT LEAK","3700 MIDDLE RIVER AVE","yes","3700 MIDDLE RIVER AVE, baltimore"
"715","1353755","6/25/2024","WATER MAIN BREAK","3010 MARDEL AVE","yes","3010 MARDEL AVE, baltimore"
"716","1353799","6/26/2024","WATER MAIN BREAK","3518 ABBIE PL","yes","3518 ABBIE PL, baltimore"
"717","1354020","6/26/2024","WATER MAIN BREAK","1000 NORTH STRICKER ST","yes","1000 NORTH STRICKER ST, baltimore"
"718","1354062","6/27/2024","WATER MAIN BREAK","4103 OLD WASHINGTON BLVD","yes","4103 OLD WASHINGTON BLVD, baltimore"
"719","1354099","6/27/2024","WATER MAIN BREAK","314 SOUTH POPPLETON ST","yes","314 SOUTH POPPLETON ST, baltimore"
"720","1354100","6/27/2024","WATER MAIN BREAK","4300 BUCKS SCHOOLHOUSE RD","yes","4300 BUCKS SCHOOLHOUSE RD, baltimore"
"721","1354279","6/27/2024","WATER MAIN BREAK","6600 CEDONIA AVE","yes","6600 CEDONIA AVE, baltimore"
"722","1354356","6/28/2024","WATER MAIN BREAK","3113 LORENA AVE","yes","3113 LORENA AVE, baltimore"
"723","1354458","6/28/2024","WATER MAIN BREAK","402 KINGSTON RD","yes","402 KINGSTON RD, baltimore"
"724","1354471","6/28/2024","WATER MAIN BREAK","6600 CEDONIA AVE","yes","6600 CEDONIA AVE, baltimore"
"725","1354494","6/29/2024","WATER MAIN BREAK","3813 FERNSIDE RD","yes","3813 FERNSIDE RD, baltimore"
"726","1354542","6/30/2024","WATER MAIN BREAK","3905 BREHMS LN","yes","3905 BREHMS LN, baltimore"
"727","1354544","6/30/2024","WATER MAIN BREAK","3900 BLK BREHMS LN","yes","3900 BLK BREHMS LN, baltimore"
"728","1354583","6/30/2024","WATER MAIN BREAK","3986 ROLAND AVE","yes","3986 ROLAND AVE, baltimore"
"729","1354584","7/1/2024","WATER MAIN BREAK","1607 NORTH CAROLINE ST","yes","1607 NORTH CAROLINE ST, baltimore"
"730","1354590","7/1/2024","WATER JOINT LEAK","8821 PHILADELPHIA RD","yes","8821 PHILADELPHIA RD, baltimore"
"731","1354702","7/1/2024","WATER JOINT LEAK","100 KWEISI MFUME CT","yes","100 KWEISI MFUME CT, baltimore"
"732","1354772","7/1/2024","WATER JOINT LEAK","914 SOUTH KENWOOD AVE","yes","914 SOUTH KENWOOD AVE, baltimore"
"733","1354893","7/1/2024","WATER MAIN BREAK","2010 GREENGAGE RD","yes","2010 GREENGAGE RD, baltimore"
"734","1354912","7/1/2024","WATER MAIN BREAK","4633 FURLEY AVE","yes","4633 FURLEY AVE, baltimore"
"735","1354916","7/1/2024","WATER MAIN BREAK","2730 WILMARCO AVE","yes","2730 WILMARCO AVE, baltimore"
"736","1354918","7/1/2024","WATER MAIN BREAK","8900 HARFORD RD","yes","8900 HARFORD RD, baltimore"
"737","1354931","7/2/2024","WATER MAIN BREAK","3651 ROCKDALE TER","yes","3651 ROCKDALE TER, baltimore"
"738","1354933","7/2/2024","WATER MAIN BREAK","5821 FARMVIEW AVE","yes","5821 FARMVIEW AVE, baltimore"
"739","1354985","7/2/2024","WATER MAIN BREAK","4210 PARKWOOD AVE","yes","4210 PARKWOOD AVE, baltimore"
"740","1355065","7/2/2024","WATER MAIN BREAK","9408 JODALE RD","yes","9408 JODALE RD, baltimore"
"741","1355132","7/2/2024","WATER MAIN BREAK","3986 ROLAND AVE","yes","3986 ROLAND AVE, baltimore"
"742","1355194","7/2/2024","WATER MAIN BREAK","900 SOUTH KENWOOD AVE","yes","900 SOUTH KENWOOD AVE, baltimore"
"743","1355217","7/3/2024","WATER MAIN BREAK","4830 OAKLAND PARK RD","yes","4830 OAKLAND PARK RD, baltimore"
"744","1355219","7/3/2024","WATER MAIN BREAK","6713 LINDEN AVE","yes","6713 LINDEN AVE, baltimore"
"745","1355238","7/3/2024","WATER MAIN BREAK","2945 WHITTINGTON AVE","yes","2945 WHITTINGTON AVE, baltimore"
"746","1355239","7/3/2024","WATER MAIN BREAK","745 ANNESLIE RD","yes","745 ANNESLIE RD, baltimore"
"747","1355296","7/3/2024","WATER MAIN BREAK","10002 PERINE LN","yes","10002 PERINE LN, baltimore"
"748","1355317","7/3/2024","WATER MAIN BREAK","4619 REISTERSTOWN RD","yes","4619 REISTERSTOWN RD, baltimore"
"749","1355323","7/3/2024","WATER MAIN BREAK","5100 REISTERSTOWN RD","yes","5100 REISTERSTOWN RD, baltimore"
"750","1355374","7/3/2024","WATER JOINT LEAK","2860 HARLEM AVE","yes","2860 HARLEM AVE, baltimore"
"751","1355378","7/3/2024","WATER MAIN BREAK","7205 PRINCE GEORGE RD","yes","7205 PRINCE GEORGE RD, baltimore"
"752","1355422","7/4/2024","WATER MAIN BREAK","23 EAST 22ND ST","yes","23 EAST 22ND ST, baltimore"
"753","1355427","7/4/2024","WATER MAIN BREAK","7919 ELLENHAM AVE","yes","7919 ELLENHAM AVE, baltimore"
"754","1355428","7/5/2024","WATER MAIN BREAK","906 PINE HEIGHTS AVE","yes","906 PINE HEIGHTS AVE, baltimore"
"755","1355429","7/5/2024","WATER MAIN BREAK","2005 WHISTLER AVE","yes","2005 WHISTLER AVE, baltimore"
"756","1355448","7/5/2024","WATER MAIN BREAK","300 KEY HWY","yes","300 KEY HWY, baltimore"
"757","1355457","7/5/2024","WATER MAIN BREAK","2007 WHISTLER AVE","yes","2007 WHISTLER AVE, baltimore"
"758","1355458","7/5/2024","WATER MAIN BREAK","2008 KERNAN DR","yes","2008 KERNAN DR, baltimore"
"759","1355461","7/5/2024","WATER MAIN BREAK","2924 CHARLESTON AVE","yes","2924 CHARLESTON AVE, baltimore"
"760","1355464","7/5/2024","WATER MAIN BREAK","2011 HAMMONDS FERRY RD","yes","2011 HAMMONDS FERRY RD, baltimore"
"761","1355565","7/5/2024","WATER JOINT LEAK","2500 WEST BELVEDERE AVE","yes","2500 WEST BELVEDERE AVE, baltimore"
"762","1355584","7/5/2024","WATER MAIN BREAK","2428 EASTRIDGE RD","yes","2428 EASTRIDGE RD, baltimore"
"763","1355587","7/5/2024","WATER JOINT LEAK","5251 NELSON AVE","yes","5251 NELSON AVE, baltimore"
