"","workorderid","date","description","address","address1"
"495","1321378","3/21/2024","WATER MAIN BREAK","1337 SOUTH SENECA RD","1337 SOUTH SENECA RD, baltimore"
"496","1321392","3/21/2024","WATER MAIN BREAK","420 AISQUITH ST","420 AISQUITH ST, baltimore"
"497","1321583","3/22/2024","WATER MAIN BREAK","223 NORTH CAREY ST","223 NORTH CAREY ST, baltimore"
"498","1321594","3/22/2024","WATER MAIN BREAK","8201 EASTERN AVE","8201 EASTERN AVE, baltimore"
"499","1321703","3/22/2024","WATER MAIN BREAK","8364 PULASKI HWY","8364 PULASKI HWY, baltimore"
"500","1321715","3/22/2024","WATER MAIN BREAK","3613 OLD YORK RD","3613 OLD YORK RD, baltimore"
"501","1321740","3/23/2024","WATER MAIN BREAK","1433 BELLONA AVE","1433 BELLONA AVE, baltimore"
"502","1321760","3/23/2024","WATER MAIN BREAK","3000 FALLS RD","3000 FALLS RD, baltimore"
"503","1321831","3/25/2024","WATER JOINT LEAK","322 BOURQUE RD","322 BOURQUE RD, baltimore"
"504","1321900","3/25/2024","WATER MAIN BREAK","1532 NORTH PAYSON ST","1532 NORTH PAYSON ST, baltimore"
"505","1321981","3/25/2024","WATER JOINT LEAK","3654 OLD YORK RD","3654 OLD YORK RD, baltimore"
"506","1322016","3/25/2024","WATER MAIN BREAK","7024 GRACES QUARTERS RD","7024 GRACES QUARTERS RD, baltimore"
"507","1324006","3/26/2024","WATER MAIN BREAK","102 WEST SEMINARY AVE","102 WEST SEMINARY AVE, baltimore"
"508","1324012","3/26/2024","WATER JOINT LEAK","130 NORTH ROSE ST","130 NORTH ROSE ST, baltimore"
"509","1324048","3/26/2024","WATER MAIN BREAK","1600 WHITEHEAD CT","1600 WHITEHEAD CT, baltimore"
"510","1324097","3/26/2024","WATER MAIN BREAK","11417 REISTERSTOWN RD","11417 REISTERSTOWN RD, baltimore"
"511","1324287","3/26/2024","WATER MAIN BREAK","529 BRISBANE RD","529 BRISBANE RD, baltimore"
"512","1324453","3/27/2024","WATER JOINT LEAK","1600 WHITEHEAD CT","1600 WHITEHEAD CT, baltimore"
"513","1325035","3/28/2024","WATER MAIN BREAK","118 BURNETT ST","118 BURNETT ST, baltimore"
"514","1325060","3/29/2024","WATER MAIN BREAK","2300 ERDMAN AVE","2300 ERDMAN AVE, baltimore"
"515","1325136","3/30/2024","WATER MAIN BREAK","3600 THE ALAMEDA","3600 THE ALAMEDA, baltimore"
"516","1325141","3/30/2024","WATER MAIN BREAK","4544 FITCH AVE","4544 FITCH AVE, baltimore"
"517","1325607","4/1/2024","WATER MAIN BREAK","1613 AISQUITH ST","1613 AISQUITH ST, baltimore"
"518","1325784","4/2/2024","WATER MAIN BREAK","1512 DRUID HILL AVE","1512 DRUID HILL AVE, baltimore"
"519","1328557","4/3/2024","WATER MAIN BREAK","2900 CHESTNUT AVE","2900 CHESTNUT AVE, baltimore"
"520","1329187","4/4/2024","WATER MAIN BREAK","545 WELLESLEY ST","545 WELLESLEY ST, baltimore"
"521","1329200","4/4/2024","WATER JOINT LEAK","129 WEST OSTEND ST","129 WEST OSTEND ST, baltimore"
"522","1329751","4/4/2024","WATER MAIN BREAK","2236 WEST SARATOGA ST","2236 WEST SARATOGA ST, baltimore"
"523","1329767","4/5/2024","WATER JOINT LEAK","4845 PARK HEIGHTS AVE","4845 PARK HEIGHTS AVE, baltimore"
"524","1329926","4/5/2024","WATER MAIN BREAK","6709 HAVENOAK RD","6709 HAVENOAK RD, baltimore"
"525","1330057","4/5/2024","WATER MAIN BREAK","4391 GREENSPRING AVE","4391 GREENSPRING AVE, baltimore"
"526","1330116","4/6/2024","WATER MAIN BREAK","4518 DRESDEN RD","4518 DRESDEN RD, baltimore"
"527","1330238","4/7/2024","WATER MAIN BREAK","4302 ASHLAND AVE","4302 ASHLAND AVE, baltimore"
"528","1330241","4/7/2024","WATER MAIN BREAK","3620 EITEMILLER RD","3620 EITEMILLER RD, baltimore"
"529","1330251","4/7/2024","WATER MAIN BREAK","4101 VILLA NOVA RD","4101 VILLA NOVA RD, baltimore"
"530","1330371","4/8/2024","WATER MAIN BREAK","26 HEATHROW MANOR CT","26 HEATHROW MANOR CT, baltimore"
"531","1330531","4/8/2024","WATER JOINT LEAK","4434 KENDI RD","4434 KENDI RD, baltimore"
"532","1330548","4/8/2024","WATER MAIN BREAK","129 WEST OSTEND ST","129 WEST OSTEND ST, baltimore"
"533","1330558","4/8/2024","WATER MAIN BREAK","2 ABBEY BRIDGE CT","2 ABBEY BRIDGE CT, baltimore"
"534","1330695","4/8/2024","WATER MAIN BREAK","1810 NORTH ROSE ST","1810 NORTH ROSE ST, baltimore"
"535","1331442","4/9/2024","WATER JOINT LEAK","1504 NORTH SPRING ST","1504 NORTH SPRING ST, baltimore"
"536","1331447","4/9/2024","WATER MAIN BREAK","4845 PARK HEIGHTS AVE","4845 PARK HEIGHTS AVE, baltimore"
"537","1331792","4/10/2024","WATER MAIN BREAK","2239 OREM AVE","2239 OREM AVE, baltimore"
"538","1331886","4/11/2024","WATER MAIN BREAK","6540 EASTERN AVE","6540 EASTERN AVE, baltimore"
"539","1331939","4/11/2024","WATER MAIN BREAK","4309 SHELDON AVE","4309 SHELDON AVE, baltimore"
"540","1331943","4/11/2024","WATER MAIN BREAK","7 VIRGINIA AVE","7 VIRGINIA AVE, baltimore"
"541","1332103","4/11/2024","WATER JOINT LEAK","4 ELKWOOD CT","4 ELKWOOD CT, baltimore"
"542","1332396","4/11/2024","WATER MAIN BREAK","LANCE AVE HOMBERG AVE","LANCE AVE HOMBERG AVE, baltimore"
"543","1332435","4/12/2024","WATER MAIN BREAK","2401 WEST COLD SPRING LN","2401 WEST COLD SPRING LN, baltimore"
"544","1332436","4/12/2024","WATER MAIN BREAK","2100 WEST COLD SPRING LN","2100 WEST COLD SPRING LN, baltimore"
"545","1332451","4/12/2024","WATER JOINT LEAK","7 CHRIS CT","7 CHRIS CT, baltimore"
"546","1332499","4/12/2024","WATER MAIN BREAK","5 MIRA CT","5 MIRA CT, baltimore"
"547","1332610","4/12/2024","WATER MAIN BREAK","701 ELMWOOD RD","701 ELMWOOD RD, baltimore"
"548","1332797","4/13/2024","WATER MAIN BREAK","3712 6TH ST","3712 6TH ST, baltimore"
"549","1332827","4/14/2024","WATER MAIN BREAK","7 CHRIS CT","7 CHRIS CT, baltimore"
"550","1333046","4/15/2024","WATER JOINT LEAK","316 GERMAN HILL RD","316 GERMAN HILL RD, baltimore"
"551","1333275","4/16/2024","WATER MAIN BREAK","143 EAST NORTH AVE","143 EAST NORTH AVE, baltimore"
"552","1333348","4/16/2024","WATER JOINT LEAK","4803 PARK HEIGHTS AVE","4803 PARK HEIGHTS AVE, baltimore"
"553","1333657","4/17/2024","WATER MAIN BREAK","1500 NORTH WASHINGTON ST","1500 NORTH WASHINGTON ST, baltimore"
"554","1333663","4/17/2024","WATER MAIN BREAK","704 BROOKWOOD RD","704 BROOKWOOD RD, baltimore"
"555","1333868","4/17/2024","WATER MAIN BREAK","611 WEST LAFAYETTE AVE","611 WEST LAFAYETTE AVE, baltimore"
"556","1333934","4/18/2024","WATER MAIN BREAK","5720 CEDONIA AVE","5720 CEDONIA AVE, baltimore"
"557","1334267","4/18/2024","WATER MAIN BREAK","859 HARLEM AVE","859 HARLEM AVE, baltimore"
"558","1334290","4/18/2024","WATER MAIN BREAK","100 LONGDALE RD","100 LONGDALE RD, baltimore"
"559","1334429","4/19/2024","WATER MAIN BREAK","36 MILLSTONE RD","36 MILLSTONE RD, baltimore"
"560","1334522","4/19/2024","WATER MAIN BREAK","563 NEW PITTSBURG AVE","563 NEW PITTSBURG AVE, baltimore"
"561","1334585","4/21/2024","WATER MAIN BREAK","1503 SHERBROOK RD","1503 SHERBROOK RD, baltimore"
"562","1334986","4/22/2024","WATER MAIN BREAK","501 ENOLA RD","501 ENOLA RD, baltimore"
"563","1335013","4/22/2024","WATER MAIN BREAK","2048 HOLLINS ST","2048 HOLLINS ST, baltimore"
"564","1335014","4/22/2024","WATER MAIN BREAK","6212 WOODCREST AVE","6212 WOODCREST AVE, baltimore"
"565","1335021","4/22/2024","WATER MAIN BREAK","MANNASOTA AVE AND SHAMROCK AVE","MANNASOTA AVE AND SHAMROCK AVE, baltimore"
"566","1335048","4/23/2024","WATER MAIN BREAK","604 EAST FORT AVE","604 EAST FORT AVE, baltimore"
"567","1335088","4/23/2024","WATER MAIN BREAK","200 SOUTH COLLINGTON AVE","200 SOUTH COLLINGTON AVE, baltimore"
"568","1335309","4/23/2024","WATER MAIN BREAK","1054 FLAGTREE LN","1054 FLAGTREE LN, baltimore"
"569","1335372","4/23/2024","WATER JOINT LEAK","9 SLATE MILLS CT","9 SLATE MILLS CT, baltimore"
"570","1335417","4/24/2024","WATER MAIN BREAK","602 WHITMORE AVE","602 WHITMORE AVE, baltimore"
"571","1335522","4/24/2024","WATER MAIN BREAK","4518 DRESDEN RD","4518 DRESDEN RD, baltimore"
"572","1335637","4/24/2024","WATER JOINT LEAK","114 REEDBIRD AVE","114 REEDBIRD AVE, baltimore"
"573","1335737","4/24/2024","WATER MAIN BREAK","608 WHITMORE AVE","608 WHITMORE AVE, baltimore"
"574","1335775","4/24/2024","WATER MAIN BREAK","SOUTH COLLINGTON AVE GOUGH SAINT BALTIMORE","SOUTH COLLINGTON AVE GOUGH SAINT BALTIMORE, baltimore"
"575","1335784","4/25/2024","WATER MAIN BREAK","222 NORTH CALVERTON RD","222 NORTH CALVERTON RD, baltimore"
"576","1335823","4/25/2024","WATER MAIN BREAK","4801 HOLLINS FERRY RD","4801 HOLLINS FERRY RD, baltimore"
"577","1335972","4/25/2024","WATER MAIN BREAK","7309 CAMPFIELD RD","7309 CAMPFIELD RD, baltimore"
"578","1336027","4/25/2024","WATER JOINT LEAK","7712 INWOOD AVE","7712 INWOOD AVE, baltimore"
"579","1336183","4/25/2024","WATER MAIN BREAK","1722 BELMONT AVE","1722 BELMONT AVE, baltimore"
"580","1336207","4/26/2024","WATER JOINT LEAK","6721 VALLEY CREEK DR","6721 VALLEY CREEK DR, baltimore"
"581","1336455","4/26/2024","WATER JOINT LEAK","1441 GALENA RD","1441 GALENA RD, baltimore"
"582","1336499","4/27/2024","WATER MAIN BREAK","9232 RAVENWOOD RD","9232 RAVENWOOD RD, baltimore"
"583","1336522","4/28/2024","WATER MAIN BREAK","2901 VIRGINIA AVE","2901 VIRGINIA AVE, baltimore"
"584","1336754","4/29/2024","WATER MAIN BREAK","2140 BARRISON POINT RD","2140 BARRISON POINT RD, baltimore"
"585","1336791","4/29/2024","WATER MAIN BREAK","3500 TEMPLAR RD","3500 TEMPLAR RD, baltimore"
"586","1336920","4/29/2024","WATER MAIN BREAK","1800 WEST FAYETTE ST","1800 WEST FAYETTE ST, baltimore"
"587","1336927","4/29/2024","WATER MAIN BREAK","8101 PARK HEIGHTS AVE","8101 PARK HEIGHTS AVE, baltimore"
"588","1336982","4/30/2024","WATER MAIN BREAK","1440 NORTH EDEN ST","1440 NORTH EDEN ST, baltimore"
"589","1337108","4/30/2024","WATER MAIN BREAK","7309 CAMPFIELD RD","7309 CAMPFIELD RD, baltimore"
"590","1337234","4/30/2024","WATER MAIN BREAK","8421 TALLY HO RD","8421 TALLY HO RD, baltimore"
"591","1337250","4/30/2024","WATER MAIN BREAK","27 HOBART CT","27 HOBART CT, baltimore"
"592","1337251","4/30/2024","WATER MAIN BREAK","2858 HARLEM AVE","2858 HARLEM AVE, baltimore"
"593","1337418","5/1/2024","WATER JOINT LEAK","DOLPHIN SAINT SHIELDS PL","DOLPHIN SAINT SHIELDS PL, baltimore"
"594","1337585","5/1/2024","WATER MAIN BREAK","2862 HARLEM AVE","2862 HARLEM AVE, baltimore"
"595","1337686","5/2/2024","WATER MAIN BREAK","5519 WILLYS AVE","5519 WILLYS AVE, baltimore"
"596","1337715","5/2/2024","WATER MAIN BREAK","505 ENOLA RD","505 ENOLA RD, baltimore"
"597","1337782","5/2/2024","WATER JOINT LEAK","4500 REISTERSTOWN RD","4500 REISTERSTOWN RD, baltimore"
"598","1337918","5/2/2024","WATER JOINT LEAK","30 HOBART CT","30 HOBART CT, baltimore"
"599","1338005","5/3/2024","WATER MAIN BREAK","436 ESSEXWOOD CT","436 ESSEXWOOD CT, baltimore"
"600","1338015","5/3/2024","WATER MAIN BREAK","1310 RACQUET RD","1310 RACQUET RD, baltimore"
"601","1338196","5/3/2024","WATER MAIN BREAK","919 SOUTH EAST AVE","919 SOUTH EAST AVE, baltimore"
"602","1338228","5/3/2024","WATER MAIN BREAK","900 WEST MULBERRY ST","900 WEST MULBERRY ST, baltimore"
"603","1338366","5/4/2024","WATER MAIN BREAK","4 STONEGATE CT","4 STONEGATE CT, baltimore"
"604","1338369","5/4/2024","WATER MAIN BREAK","439 EASTLYNNE AVE","439 EASTLYNNE AVE, baltimore"
"605","1338436","5/5/2024","WATER MAIN BREAK","1 KILBEGGAN GRN","1 KILBEGGAN GRN, baltimore"
"606","1338642","5/6/2024","WATER MAIN BREAK","1117 CONCORDIA DR","1117 CONCORDIA DR, baltimore"
"607","1338789","5/6/2024","WATER MAIN BREAK","WEST OSTEND SAINT AND WICOMICO ST","WEST OSTEND SAINT AND WICOMICO ST, baltimore"
"608","1338793","5/6/2024","WATER MAIN BREAK","1159 CARROLL ST","1159 CARROLL ST, baltimore"
"609","1338881","5/7/2024","WATER MAIN BREAK","4504 FAIRFAX RD","4504 FAIRFAX RD, baltimore"
"610","1338960","5/7/2024","WATER JOINT LEAK","9408 JODALE RD","9408 JODALE RD, baltimore"
"611","1339025","5/7/2024","WATER JOINT LEAK","5519 WILLYS AVE","5519 WILLYS AVE, baltimore"
"612","1339032","5/7/2024","WATER MAIN BREAK","632 DUMBARTON AVE","632 DUMBARTON AVE, baltimore"
"613","1339295","5/8/2024","WATER JOINT LEAK","9601 BELAIR RD","9601 BELAIR RD, baltimore"
"614","1339386","5/8/2024","WATER MAIN BREAK","1929 SILVER LN","1929 SILVER LN, baltimore"
"615","1339435","5/8/2024","WATER MAIN BREAK","500 SUNSET RD","500 SUNSET RD, baltimore"
"616","1339466","5/8/2024","WATER JOINT LEAK","4236 PARKSIDE DR","4236 PARKSIDE DR, baltimore"
"617","1339551","5/8/2024","WATER MAIN BREAK","4801 WRENWOOD AVE","4801 WRENWOOD AVE, baltimore"
"618","1339583","5/9/2024","WATER MAIN BREAK","5605 EVERHURST RD","5605 EVERHURST RD, baltimore"
"619","1339755","5/9/2024","WATER JOINT LEAK","622 COLERAINE RD","622 COLERAINE RD, baltimore"
"620","1339809","5/9/2024","WATER JOINT LEAK","9408 JODALE RD","9408 JODALE RD, baltimore"
"621","1339897","5/9/2024","WATER JOINT LEAK","100 LONGDALE RD","100 LONGDALE RD, baltimore"
"622","1339931","5/9/2024","WATER MAIN BREAK","8900 KELSO DR","8900 KELSO DR, baltimore"
"623","1340082","5/10/2024","WATER JOINT LEAK","1705 NOTRE DAME AVE","1705 NOTRE DAME AVE, baltimore"
"624","1340268","5/11/2024","WATER MAIN BREAK","2801 OVERLAND AVE","2801 OVERLAND AVE, baltimore"
"625","1340319","5/12/2024","WATER MAIN BREAK","100 LONGDALE RD","100 LONGDALE RD, baltimore"
"626","1340324","5/12/2024","WATER MAIN BREAK","9431 DAWN DR","9431 DAWN DR, baltimore"
"627","1340361","5/13/2024","WATER JOINT LEAK","8506 OLD HARFORD RD","8506 OLD HARFORD RD, baltimore"
"628","1340428","5/13/2024","WATER MAIN BREAK","725 WEST LOMBARD ST","725 WEST LOMBARD ST, baltimore"
"629","1340461","5/13/2024","WATER MAIN BREAK","5509 EAST AVE","5509 EAST AVE, baltimore"
"630","1340609","5/13/2024","WATER JOINT LEAK","2116 MONUMENTAL RD","2116 MONUMENTAL RD, baltimore"
"631","1340739","5/14/2024","WATER JOINT LEAK","1434 PLEASANT VALLEY DR","1434 PLEASANT VALLEY DR, baltimore"
"632","1340849","5/14/2024","WATER JOINT LEAK","8506 OLD HARFORD RD","8506 OLD HARFORD RD, baltimore"
"633","1340960","5/14/2024","WATER MAIN BREAK","9134 AVENUE C","9134 AVENUE C, baltimore"
"634","1341007","5/15/2024","WATER MAIN BREAK","9618 BUTTON BUCK CIR","9618 BUTTON BUCK CIR, baltimore"
"635","1341158","5/15/2024","WATER JOINT LEAK","741 SOUTH CURLEY ST","741 SOUTH CURLEY ST, baltimore"
"636","1343142","5/17/2024","WATER MAIN BREAK","31 NORTH FULTON AVE","31 NORTH FULTON AVE, baltimore"
"637","1343168","5/17/2024","WATER MAIN BREAK","313 BIGLEY AVE","313 BIGLEY AVE, baltimore"
"638","1343211","5/17/2024","WATER JOINT LEAK","3722 GREENMOUNT AVE","3722 GREENMOUNT AVE, baltimore"
"639","1343214","5/17/2024","WATER MAIN BREAK","725 WEST LOMBARD ST","725 WEST LOMBARD ST, baltimore"
"640","1343275","5/17/2024","WATER JOINT LEAK","739 SOUTH CURLEY ST","739 SOUTH CURLEY ST, baltimore"
"641","1343366","5/17/2024","WATER MAIN BREAK","301 BIGLEY AVE","301 BIGLEY AVE, baltimore"
"642","1343382","5/17/2024","WATER MAIN BREAK","213 WILSON ST","213 WILSON ST, baltimore"
"643","1343415","5/17/2024","WATER MAIN BREAK","4234 PARKSIDE DR","4234 PARKSIDE DR, baltimore"
"644","1343431","5/17/2024","WATER MAIN BREAK","6 LINEAGE CT","6 LINEAGE CT, baltimore"
"645","1343450","5/18/2024","WATER MAIN BREAK","3638 ELTHAM WAY","3638 ELTHAM WAY, baltimore"
"646","1343462","5/18/2024","WATER MAIN BREAK","6123 FAIRWOOD AVE","6123 FAIRWOOD AVE, baltimore"
"647","1344154","5/21/2024","WATER JOINT LEAK","2860 HARLEM AVE","2860 HARLEM AVE, baltimore"
"648","1344430","5/22/2024","WATER JOINT LEAK","1628 MELBY CT","1628 MELBY CT, baltimore"
"649","1344511","5/22/2024","WATER MAIN BREAK","1811 NORTH CHESTER ST","1811 NORTH CHESTER ST, baltimore"
"650","1344565","5/22/2024","WATER JOINT LEAK","3004 3RD AVE","3004 3RD AVE, baltimore"
"651","1344739","5/23/2024","WATER JOINT LEAK","2729 RAYNER AVE","2729 RAYNER AVE, baltimore"
"652","1344809","5/23/2024","WATER JOINT LEAK","2858 HARLEM AVE","2858 HARLEM AVE, baltimore"
"653","1344844","5/23/2024","WATER JOINT LEAK","27 HOBART CT","27 HOBART CT, baltimore"
"654","1344938","5/23/2024","WATER JOINT LEAK","1807 WEST LANVALE ST","1807 WEST LANVALE ST, baltimore"
"655","1345135","5/24/2024","WATER MAIN BREAK","8615 LUCERNE RD","8615 LUCERNE RD, baltimore"
"656","1345152","5/24/2024","WATER JOINT LEAK","4 STONEGATE CT","4 STONEGATE CT, baltimore"
"657","1345244","5/25/2024","WATER MAIN BREAK","521 WEST 27TH ST","521 WEST 27TH ST, baltimore"
"658","1345273","5/26/2024","WATER MAIN BREAK","WEST LAFAYETTE AVE AND NORTH FULTON AVE","WEST LAFAYETTE AVE AND NORTH FULTON AVE, baltimore"
"659","1345284","5/27/2024","WATER MAIN BREAK","4200 FURLEY AVE","4200 FURLEY AVE, baltimore"
"660","1345319","5/27/2024","WATER MAIN BREAK","5117 SOUTH ST","5117 SOUTH ST, baltimore"
"661","1345482","5/28/2024","WATER MAIN BREAK","3004 3RD AVE","3004 3RD AVE, baltimore"
"662","1345552","5/28/2024","WATER JOINT LEAK","3320 SUMMIT AVE","3320 SUMMIT AVE, baltimore"
"663","1345703","5/29/2024","WATER MAIN BREAK","CHURCH LN REISTERSTOWN RD","CHURCH LN REISTERSTOWN RD, baltimore"
"664","1345795","5/29/2024","WATER MAIN BREAK","800 BATTERY AVE","800 BATTERY AVE, baltimore"
"665","1345823","5/29/2024","WATER MAIN BREAK","8821 JASPER LN","8821 JASPER LN, baltimore"
"666","1345937","5/29/2024","WATER MAIN BREAK","6 KIRK HILL CT","6 KIRK HILL CT, baltimore"
"667","1346093","5/29/2024","WATER MAIN BREAK","2710 BARTOL AVE","2710 BARTOL AVE, baltimore"
"668","1346425","5/29/2024","WATER MAIN BREAK","5801 POPLAR HILL RD","5801 POPLAR HILL RD, baltimore"
"669","1346674","5/29/2024","WATER MAIN BREAK","500 SOUTH DUNCAN ST","500 SOUTH DUNCAN ST, baltimore"
"670","1346727","5/29/2024","WATER MAIN BREAK","11024 REISTERSTOWN RD","11024 REISTERSTOWN RD, baltimore"
"671","1346969","5/29/2024","WATER MAIN BREAK","3821 PULASKI HWY","3821 PULASKI HWY, baltimore"
"672","1346998","5/30/2024","WATER MAIN BREAK","1500 SULPHUR SPRING RD","1500 SULPHUR SPRING RD, baltimore"
"673","1347026","5/30/2024","WATER MAIN BREAK","841 BELGIAN AVE","841 BELGIAN AVE, baltimore"
"674","1347037","5/30/2024","WATER MAIN BREAK","1804 WEST BALTIMORE ST","1804 WEST BALTIMORE ST, baltimore"
"675","1347174","5/30/2024","WATER MAIN BREAK","6909 CIRCLE RD","6909 CIRCLE RD, baltimore"
"676","1347236","5/30/2024","WATER MAIN BREAK","621 KINGSTON RD","621 KINGSTON RD, baltimore"
"677","1347423","5/31/2024","WATER MAIN BREAK","6200 FRANKFORD AVE","6200 FRANKFORD AVE, baltimore"
"678","1347435","5/31/2024","WATER MAIN BREAK","222 NORTH CALVERTON RD","222 NORTH CALVERTON RD, baltimore"
"679","1347554","5/31/2024","WATER JOINT LEAK","4 STONEGATE CT","4 STONEGATE CT, baltimore"
"680","1347825","6/1/2024","WATER MAIN BREAK","1971 GREENBERRY RD","1971 GREENBERRY RD, baltimore"
"681","1347835","6/1/2024","WATER MAIN BREAK","310 SOUTH CATHERINE ST","310 SOUTH CATHERINE ST, baltimore"
"682","1347855","6/1/2024","WATER MAIN BREAK","614 KINGSTON RD","614 KINGSTON RD, baltimore"
"683","1347875","6/2/2024","WATER MAIN BREAK","203 WESTWAY","203 WESTWAY, baltimore"
"684","1347890","6/2/2024","WATER MAIN BREAK","RIGGS AVE PARRISH ST","RIGGS AVE PARRISH ST, baltimore"
"685","1347931","6/3/2024","WATER MAIN BREAK","8207 LIBERTY RD","8207 LIBERTY RD, baltimore"
"686","1347942","6/3/2024","WATER MAIN BREAK","2048 ROBB ST","2048 ROBB ST, baltimore"
"687","1348018","6/3/2024","WATER MAIN BREAK","327 SOUTH BRUCE ST","327 SOUTH BRUCE ST, baltimore"
"688","1348059","6/3/2024","WATER JOINT LEAK","619 KINGSTON RD","619 KINGSTON RD, baltimore"
"689","1348060","6/3/2024","WATER JOINT LEAK","619 KINGSTON RD","619 KINGSTON RD, baltimore"
"690","1348383","6/3/2024","WATER MAIN BREAK","224 EAST BIDDLE ST","224 EAST BIDDLE ST, baltimore"
"691","1348663","6/4/2024","WATER MAIN BREAK","DOLPHIN SAINT AND WEST MOUNT ROYAL AVE","DOLPHIN SAINT AND WEST MOUNT ROYAL AVE, baltimore"
"692","1348732","6/4/2024","WATER MAIN BREAK","8 CLIPSTONE CT","8 CLIPSTONE CT, baltimore"
"693","1348768","6/4/2024","WATER JOINT LEAK","1409 GIBSONWOOD RD","1409 GIBSONWOOD RD, baltimore"
"694","1348896","6/4/2024","WATER JOINT LEAK","302 SOUTH CATHERINE ST","302 SOUTH CATHERINE ST, baltimore"
"695","1348912","6/4/2024","WATER JOINT LEAK","FREDERICK AVE SOUTH CATHERINE ST","FREDERICK AVE SOUTH CATHERINE ST, baltimore"
"696","1349058","6/5/2024","WATER MAIN BREAK","3 KIRK HILL CT","3 KIRK HILL CT, baltimore"
"697","1349156","6/5/2024","WATER MAIN BREAK","9 SLATE MILLS CT","9 SLATE MILLS CT, baltimore"
"698","1349178","6/5/2024","WATER MAIN BREAK","4808 HOMER AVE","4808 HOMER AVE, baltimore"
"699","1349449","6/6/2024","WATER MAIN BREAK","4805 RIDGE RD","4805 RIDGE RD, baltimore"
"700","1349470","6/6/2024","WATER MAIN BREAK","4501 RASPE AVE","4501 RASPE AVE, baltimore"
"701","1349523","6/6/2024","WATER JOINT LEAK","503 EDGEVALE RD","503 EDGEVALE RD, baltimore"
"702","1349539","6/6/2024","WATER MAIN BREAK","544 NEW PITTSBURG AVE","544 NEW PITTSBURG AVE, baltimore"
"703","1349615","6/7/2024","WATER MAIN BREAK","5117 LEEDS AVE","5117 LEEDS AVE, baltimore"
"704","1349652","6/7/2024","WATER MAIN BREAK","3411 DUNDALK AVE","3411 DUNDALK AVE, baltimore"
"705","1349747","6/7/2024","WATER MAIN BREAK","NORTH AMITY SAINT AND WEST BALTIMORE ST","NORTH AMITY SAINT AND WEST BALTIMORE ST, baltimore"
"706","1349769","6/7/2024","WATER JOINT LEAK","4312 ROLAND AVE","4312 ROLAND AVE, baltimore"
"707","1349853","6/7/2024","WATER JOINT LEAK","CHINQUAPIN PKWY EAST BELVEDERE AVE","CHINQUAPIN PKWY EAST BELVEDERE AVE, baltimore"
"708","1349901","6/7/2024","WATER MAIN BREAK","904 PINE HEIGHTS AVE","904 PINE HEIGHTS AVE, baltimore"
"709","1349923","6/8/2024","WATER MAIN BREAK","MANNASOTA AVE BREHMS LN","MANNASOTA AVE BREHMS LN, baltimore"
"710","1349924","6/8/2024","WATER MAIN BREAK","1722 HOMESTEAD ST","1722 HOMESTEAD ST, baltimore"
"711","1349939","6/8/2024","WATER MAIN BREAK","4436 RASPE AVE","4436 RASPE AVE, baltimore"
"712","1349955","6/8/2024","WATER MAIN BREAK","2010 FERNGLEN WAY","2010 FERNGLEN WAY, baltimore"
"713","1349969","6/9/2024","WATER MAIN BREAK","1442 CLAIRIDGE RD","1442 CLAIRIDGE RD, baltimore"
"714","1350052","6/10/2024","WATER MAIN BREAK","10563 INDUSTRIAL PARK RD","10563 INDUSTRIAL PARK RD, baltimore"
"715","1350183","6/10/2024","WATER MAIN BREAK","4611 NEWGATE AVE","4611 NEWGATE AVE, baltimore"
"716","1350265","6/10/2024","WATER MAIN BREAK","1800 NORTH CHESTER ST","1800 NORTH CHESTER ST, baltimore"
"717","1350270","6/10/2024","WATER JOINT LEAK","BELAIR RD AND NICHOLAS AVE","BELAIR RD AND NICHOLAS AVE, baltimore"
"718","1350412","6/11/2024","WATER MAIN BREAK","1700 NORTH COLLINGTON AVE","1700 NORTH COLLINGTON AVE, baltimore"
"719","1350417","6/11/2024","WATER MAIN BREAK","2600 MARBOURNE AVE","2600 MARBOURNE AVE, baltimore"
"720","1350596","6/11/2024","WATER JOINT LEAK","503 ENOLA RD","503 ENOLA RD, baltimore"
"721","1350760","6/11/2024","WATER MAIN BREAK","LINDEN AVE AND ALVIN AVE","LINDEN AVE AND ALVIN AVE, baltimore"
"722","1350844","6/12/2024","WATER MAIN BREAK","6600 CEDONIA AVE","6600 CEDONIA AVE, baltimore"
"723","1350846","6/12/2024","WATER MAIN BREAK","HOLLINS FERRY RD AND KESSLER RD","HOLLINS FERRY RD AND KESSLER RD, baltimore"
"724","1350862","6/12/2024","WATER MAIN BREAK","4810 HOMER AVE","4810 HOMER AVE, baltimore"
"725","1350881","6/12/2024","WATER MAIN BREAK","4810 HOMER AVE","4810 HOMER AVE, baltimore"
"726","1351049","6/12/2024","WATER MAIN BREAK","514 OAKLAND AVE","514 OAKLAND AVE, baltimore"
"727","1351062","6/12/2024","WATER MAIN BREAK","21 LINDEN AVE","21 LINDEN AVE, baltimore"
"728","1351080","6/12/2024","WATER MAIN BREAK","3500 6TH ST","3500 6TH ST, baltimore"
"729","1351126","6/13/2024","WATER MAIN BREAK","6600 BLK CEDONIA AVE","6600 BLK CEDONIA AVE, baltimore"
"730","1351130","6/13/2024","WATER MAIN BREAK","1007 CHURCH ST","1007 CHURCH ST, baltimore"
"731","1351245","6/13/2024","WATER MAIN BREAK","2812 3RD ST","2812 3RD ST, baltimore"
